iso3c,head_count,water_consumption,full_name,gleam_prod_system,gleam_product,gleam_livestock
AIA,0,0,goats_mixed_meat,mixed,meat,goats
ASM,0,0,goats_mixed_meat,mixed,meat,goats
BLM,0,0,goats_mixed_meat,mixed,meat,goats
BMU,0,0,goats_mixed_meat,mixed,meat,goats
CCK,0,0,goats_mixed_meat,mixed,meat,goats
COK,0,0,goats_mixed_meat,mixed,meat,goats
CYM,0,0,goats_mixed_meat,mixed,meat,goats
DNK,0,0,goats_mixed_meat,mixed,meat,goats
FRO,0,0,goats_mixed_meat,mixed,meat,goats
FSM,0,0,goats_mixed_meat,mixed,meat,goats
GGY,0,0,goats_mixed_meat,mixed,meat,goats
GIB,0,0,goats_mixed_meat,mixed,meat,goats
GRL,0,0,goats_mixed_meat,mixed,meat,goats
GUM,0,0,goats_mixed_meat,mixed,meat,goats
IOT,0,0,goats_mixed_meat,mixed,meat,goats
KHM,0,0,goats_mixed_meat,mixed,meat,goats
KIR,0,0,goats_mixed_meat,mixed,meat,goats
MAC,0,0,goats_mixed_meat,mixed,meat,goats
MCO,0,0,goats_mixed_meat,mixed,meat,goats
MDV,0,0,goats_mixed_meat,mixed,meat,goats
MHL,0,0,goats_mixed_meat,mixed,meat,goats
MNP,0,0,goats_mixed_meat,mixed,meat,goats
NFK,0,0,goats_mixed_meat,mixed,meat,goats
NIU,0,0,goats_mixed_meat,mixed,meat,goats
NRU,0,0,goats_mixed_meat,mixed,meat,goats
PCN,0,0,goats_mixed_meat,mixed,meat,goats
PLW,0,0,goats_mixed_meat,mixed,meat,goats
PYF,0,0,goats_mixed_meat,mixed,meat,goats
SHN,0,0,goats_mixed_meat,mixed,meat,goats
SPM,0,0,goats_mixed_meat,mixed,meat,goats
SWE,0,0,goats_mixed_meat,mixed,meat,goats
SXM,0,0,goats_mixed_meat,mixed,meat,goats
SYC,0,0,goats_mixed_meat,mixed,meat,goats
TKL,0,0,goats_mixed_meat,mixed,meat,goats
TUV,0,0,goats_mixed_meat,mixed,meat,goats
VGB,0,0,goats_mixed_meat,mixed,meat,goats
WLF,0,0,goats_mixed_meat,mixed,meat,goats
ALA,0.1769135807568996,0.2516464443149795,goats_mixed_meat,mixed,meat,goats
WSM,4.02353115641651,5.953667003788713,goats_mixed_meat,mixed,meat,goats
SJM,20.690211361215766,29.430290760605057,goats_mixed_meat,mixed,meat,goats
SMR,21.48291455100059,30.55785224148766,goats_mixed_meat,mixed,meat,goats
IMN,62.18759030776005,88.45723383423281,goats_mixed_meat,mixed,meat,goats
FLK,106.2883925139904,151.1873533601373,goats_mixed_meat,mixed,meat,goats
AND,118.92404032013832,169.1606249904414,goats_mixed_meat,mixed,meat,goats
LIE,126.08496588524008,179.34651037443734,goats_mixed_meat,mixed,meat,goats
JEY,128.78355785624262,183.1850572584829,goats_mixed_meat,mixed,meat,goats
BLZ,188.81773296048283,282.5334719392153,goats_mixed_meat,mixed,meat,goats
ABW,487.7199904189579,763.0604014490608,goats_mixed_meat,mixed,meat,goats
ECU,558.34147888117,796.5697042151876,goats_mixed_meat,mixed,meat,goats
TCA,646.4546756744385,966.2092554551095,goats_mixed_meat,mixed,meat,goats
HKG,677.1453438855569,993.7560979368769,goats_mixed_meat,mixed,meat,goats
SGP,732.9999801367521,1113.7064021705196,goats_mixed_meat,mixed,meat,goats
PRI,917.171746616008,1350.3330617432505,goats_mixed_meat,mixed,meat,goats
ISL,1296.4648939248716,1844.1251335232341,goats_mixed_meat,mixed,meat,goats
MLT,1401.4848798799417,2006.5821068826217,goats_mixed_meat,mixed,meat,goats
GUF,1433.0706707616819,2094.7330661588016,goats_mixed_meat,mixed,meat,goats
CXR,1465.033653370905,2286.6168760908945,goats_mixed_meat,mixed,meat,goats
PNG,1674.773558336476,2441.3968747121294,goats_mixed_meat,mixed,meat,goats
NCL,1829.0973709809298,2608.0733598280876,goats_mixed_meat,mixed,meat,goats
LUX,1902.3634624831102,2705.9708987883196,goats_mixed_meat,mixed,meat,goats
EST,2895.2477837623906,4118.275188809753,goats_mixed_meat,mixed,meat,goats
XMI,2974.0393673402828,4230.350371305599,goats_mixed_meat,mixed,meat,goats
XKO,3533.9147187787007,5026.731524444305,goats_mixed_meat,mixed,meat,goats
VIR,3375.653164918709,5036.458231268554,goats_mixed_meat,mixed,meat,goats
LVA,3759.535142534044,5347.659839613557,goats_mixed_meat,mixed,meat,goats
SUR,3617.6766941972423,5403.020613331476,goats_mixed_meat,mixed,meat,goats
KNA,3794.117546081543,5471.974184485449,goats_mixed_meat,mixed,meat,goats
CRI,3923.041271205135,5642.915001370027,goats_mixed_meat,mixed,meat,goats
MAF,3825.0535278320312,5692.348343554129,goats_mixed_meat,mixed,meat,goats
IRL,4152.357213628223,5906.420094289149,goats_mixed_meat,mixed,meat,goats
ARM,4567.742388410016,6497.459177365862,goats_mixed_meat,mixed,meat,goats
LTU,4599.442304602823,6542.365469249345,goats_mixed_meat,mixed,meat,goats
NIC,4668.170803168277,6879.60485839729,goats_mixed_meat,mixed,meat,goats
MTQ,4684.620516258469,6927.348909461465,goats_mixed_meat,mixed,meat,goats
FIN,5271.691559227416,7498.590163226528,goats_mixed_meat,mixed,meat,goats
MUS,5327.414123535156,7612.406766777271,goats_mixed_meat,mixed,meat,goats
BRB,5286.057538172721,7912.833062851304,goats_mixed_meat,mixed,meat,goats
MSR,5523.749344795942,8102.402015361151,goats_mixed_meat,mixed,meat,goats
STP,5890.010836146133,8441.173255026006,goats_mixed_meat,mixed,meat,goats
GRD,6932.911073707855,10244.448253957193,goats_mixed_meat,mixed,meat,goats
TON,7262.5751953125,10587.737383277436,goats_mixed_meat,mixed,meat,goats
TTO,7178.07027961577,10631.67875621672,goats_mixed_meat,mixed,meat,goats
CUW,6927.09504699707,10778.726180003083,goats_mixed_meat,mixed,meat,goats
BHS,7356.639136793356,10895.58537343314,goats_mixed_meat,mixed,meat,goats
PAN,7762.387096445155,11395.734772001551,goats_mixed_meat,mixed,meat,goats
JPN,8059.931776717758,11656.075377231215,goats_mixed_meat,mixed,meat,goats
SVK,8690.399327548495,12361.448347257978,goats_mixed_meat,mixed,meat,goats
URY,8793.98890958348,12510.214610708941,goats_mixed_meat,mixed,meat,goats
GNQ,9023.770059590124,12912.39815672005,goats_mixed_meat,mixed,meat,goats
BRN,8531.159754230213,13104.958990463978,goats_mixed_meat,mixed,meat,goats
BEL,9475.329775308619,13477.953679230332,goats_mixed_meat,mixed,meat,goats
DMA,9455.201914646417,13670.840171925753,goats_mixed_meat,mixed,meat,goats
VCT,9532.181003092559,13854.788810715225,goats_mixed_meat,mixed,meat,goats
SLV,9800.411430704864,14142.618528197067,goats_mixed_meat,mixed,meat,goats
CZE,10083.156520859282,14342.542133225574,goats_mixed_meat,mixed,meat,goats
GLP,9709.482977168931,14484.02352768082,goats_mixed_meat,mixed,meat,goats
MYT,11700.88900756836,16983.19388872239,goats_mixed_meat,mixed,meat,goats
POL,13281.591979639024,18892.079297808017,goats_mixed_meat,mixed,meat,goats
GEO,13411.724924086995,19077.71142726947,goats_mixed_meat,mixed,meat,goats
BES,12325.25,19319.655251577795,goats_mixed_meat,mixed,meat,goats
LCA,13787.996480740047,20399.116906059044,goats_mixed_meat,mixed,meat,goats
SVN,15680.155085561166,22303.857378880297,goats_mixed_meat,mixed,meat,goats
MKD,16490.819343906936,23456.967147351235,goats_mixed_meat,mixed,meat,goats
BHR,14460.012704537445,23798.15146228385,goats_mixed_meat,mixed,meat,goats
ISR,17011.353158152575,24410.99183512719,goats_mixed_meat,mixed,meat,goats
HND,20466.813343722282,29872.735259904457,goats_mixed_meat,mixed,meat,goats
MNE,24456.574901041153,34788.78718148593,goats_mixed_meat,mixed,meat,goats
JAM,24703.688825784648,36094.78789421601,goats_mixed_meat,mixed,meat,goats
ATG,24541.69141310588,36721.0689783467,goats_mixed_meat,mixed,meat,goats
BLR,27055.98046502551,38485.125066995075,goats_mixed_meat,mixed,meat,goats
CAN,27393.600317859415,38965.36445897551,goats_mixed_meat,mixed,meat,goats
VUT,27780.95568843318,39975.89094553137,goats_mixed_meat,mixed,meat,goats
CHE,30082.124863433695,42789.5909795896,goats_mixed_meat,mixed,meat,goats
NOR,31542.440808232586,44866.78207771155,goats_mixed_meat,mixed,meat,goats
BGR,32119.67218590519,45687.850890613765,goats_mixed_meat,mixed,meat,goats
REU,34733.594846419546,49474.009344801685,goats_mixed_meat,mixed,meat,goats
MDA,35908.48171040004,51077.15136685023,goats_mixed_meat,mixed,meat,goats
BTN,36712.118192070026,52557.569611871695,goats_mixed_meat,mixed,meat,goats
AUT,39487.57161094982,56168.14123604872,goats_mixed_meat,mixed,meat,goats
NZL,41043.82741036273,58381.79966007308,goats_mixed_meat,mixed,meat,goats
HRV,44175.13816082153,62838.44549484573,goats_mixed_meat,mixed,meat,goats
SLB,44841.04559419357,65974.68389525545,goats_mixed_meat,mixed,meat,goats
CPV,46935.50724745092,66904.5888822812,goats_mixed_meat,mixed,meat,goats
PSE,47284.40138044283,68320.98006373282,goats_mixed_meat,mixed,meat,goats
BIH,56367.823807914894,80179.62371478429,goats_mixed_meat,mixed,meat,goats
HUN,63108.44798527683,89767.08556678958,goats_mixed_meat,mixed,meat,goats
TWN,65009.98096490831,95029.39978870185,goats_mixed_meat,mixed,meat,goats
GAB,66166.08834633685,95497.82172520629,goats_mixed_meat,mixed,meat,goats
GBR,69069.43949175492,98246.1537693504,goats_mixed_meat,mixed,meat,goats
GUY,66080.46971787205,98284.4725566133,goats_mixed_meat,mixed,meat,goats
SRB,72737.59704930468,103463.83577315844,goats_mixed_meat,mixed,meat,goats
TLS,81099.24769996211,117003.80211611434,goats_mixed_meat,mixed,meat,goats
GTM,83181.29706405944,118880.6664433911,goats_mixed_meat,mixed,meat,goats
DEU,88489.6784730656,125870.00303228157,goats_mixed_meat,mixed,meat,goats
CYP,91690.28342339533,131650.06979171874,goats_mixed_meat,mixed,meat,goats
SWZ,98600.29206146723,140400.95634929338,goats_mixed_meat,mixed,meat,goats
COL,105274.80734782653,157096.9471965368,goats_mixed_meat,mixed,meat,goats
PRY,107215.36758445295,158804.00116507531,goats_mixed_meat,mixed,meat,goats
CHL,114747.34400872386,163219.63755933515,goats_mixed_meat,mixed,meat,goats
COM,118877.92050002725,169245.97913976928,goats_mixed_meat,mixed,meat,goats
UKR,129874.45259721017,184736.77409962026,goats_mixed_meat,mixed,meat,goats
COG,132167.22140584775,189291.324696098,goats_mixed_meat,mixed,meat,goats
DJI,126180.6944243655,206584.09384682914,goats_mixed_meat,mixed,meat,goats
NLD,151232.54020220326,215117.06927068354,goats_mixed_meat,mixed,meat,goats
ESH,151861.38962308745,224335.21113088247,goats_mixed_meat,mixed,meat,goats
JOR,158310.09965668948,227398.38262571304,goats_mixed_meat,mixed,meat,goats
LKA,154569.2798348463,237604.3433449828,goats_mixed_meat,mixed,meat,goats
DOM,165207.2683241424,241494.91506445166,goats_mixed_meat,mixed,meat,goats
ALB,172232.12586579449,244989.61265899224,goats_mixed_meat,mixed,meat,goats
KWT,160925.2983111661,270685.14744795684,goats_mixed_meat,mixed,meat,goats
LBN,222965.4907483602,317685.1544931389,goats_mixed_meat,mixed,meat,goats
KOR,230896.06062647828,328755.6977048682,goats_mixed_meat,mixed,meat,goats
FJI,232339.25446096066,336967.5941119236,goats_mixed_meat,mixed,meat,goats
PRT,242345.01305736855,344719.0145386846,goats_mixed_meat,mixed,meat,goats
LBR,269472.2863463526,390501.4082149563,goats_mixed_meat,mixed,meat,goats
QAT,247975.8460333264,412240.0864786817,goats_mixed_meat,mixed,meat,goats
GMB,290416.1504892537,446656.53155562154,goats_mixed_meat,mixed,meat,goats
FRA,317960.8279402817,452276.08918757114,goats_mixed_meat,mixed,meat,goats
LSO,332748.1112573195,473309.5033868055,goats_mixed_meat,mixed,meat,goats
ITA,349727.2506113955,497589.15005995677,goats_mixed_meat,mixed,meat,goats
AZE,377417.447863805,538238.3292983102,goats_mixed_meat,mixed,meat,goats
KGZ,396132.45982492995,563840.7427574551,goats_mixed_meat,mixed,meat,goats
BOL,398149.0528620429,569687.2174381895,goats_mixed_meat,mixed,meat,goats
MDG,441334.74815786135,636615.0338717715,goats_mixed_meat,mixed,meat,goats
MYS,426070.75316267135,642282.0105615718,goats_mixed_meat,mixed,meat,goats
GNB,435865.9232457712,657522.9903941597,goats_mixed_meat,mixed,meat,goats
SYR,472180.5588465702,690773.9934437904,goats_mixed_meat,mixed,meat,goats
KAZ,487020.38023990754,697163.2512603764,goats_mixed_meat,mixed,meat,goats
THA,460425.35511164233,709495.0829549014,goats_mixed_meat,mixed,meat,goats
IRQ,473121.1266185282,753432.7524165503,goats_mixed_meat,mixed,meat,goats
LAO,546890.9892006714,804751.3224062242,goats_mixed_meat,mixed,meat,goats
TUN,557235.977496679,810935.5227854169,goats_mixed_meat,mixed,meat,goats
SAU,546091.1876979289,869308.508604764,goats_mixed_meat,mixed,meat,goats
BWA,625180.153812398,896021.0451165992,goats_mixed_meat,mixed,meat,goats
ERI,603169.6080171737,928055.5502341536,goats_mixed_meat,mixed,meat,goats
SLE,627854.3828077655,930368.137424986,goats_mixed_meat,mixed,meat,goats
GRC,714086.4442773276,1016466.0019603593,goats_mixed_meat,mixed,meat,goats
OMN,698094.2915165491,1140207.1429663268,goats_mixed_meat,mixed,meat,goats
CUB,781067.5158873681,1147967.879897437,goats_mixed_meat,mixed,meat,goats
TKM,808112.8722829495,1194212.3972750062,goats_mixed_meat,mixed,meat,goats
CIV,818053.0077062168,1217498.5918664893,goats_mixed_meat,mixed,meat,goats
NAM,933724.8302866257,1333141.9895247787,goats_mixed_meat,mixed,meat,goats
