gleam_prod_system,gleam_product,gleam_livestock,total_water_consumption,MekHoek_2012_comparison,difference
grassland,meat,buffaloes,110503617.12192328,75489930.14469521,1.4638193055698374
grassland,milk,buffaloes,73043935.70475052,48998100.122519486,1.4907503662816426
mixed,meat,buffaloes,1901714675.1823862,1581526622.5527382,1.202455050748898
mixed,milk,buffaloes,1832269856.5787132,1637444026.5730464,1.1189816731710893
backyard,eggs&meat,chickens,417371745.0537926,425195635.5304063,0.9815993161198519
industrial,eggs,chickens,525993466.75113356,585357459.8746613,0.898585057519829
industrial,meat,chickens,1142867847.971069,1277557045.1548076,0.8945728508213756
feedlot,meat,cows,346726323.06750715,324459775.86986256,1.0686265258550123
grassland,meat,cows,4444689332.995085,3160046911.473494,1.4065263768260252
grassland,milk,cows,1644100827.9069784,1144138916.4022973,1.4369765806732568
mixed,meat,cows,11141546123.30513,10050858672.96928,1.1085168427717662
mixed,milk,cows,5480883613.309707,5088190025.435598,1.0771774611229246
grassland,meat,goats,311324033.84967655,368557808.3117562,0.8447088267529889
grassland,milk,goats,65226795.550219044,75960422.41216257,0.8586944816643767
mixed,meat,goats,893236518.883787,1036865336.6679195,0.8614778479858345
mixed,milk,goats,238005036.68864644,271717560.82751924,0.8759280628156646
backyard,meat,pigs,2178581406.434939,2178581406.434939,1
industrial,meat,pigs,11845094859.961262,11845094859.961262,1
intermediate,meat,pigs,1565772709.6664498,1565772709.6664498,1
grassland,meat,sheep,951338097.154669,951338097.154669,1
grassland,milk,sheep,217576728.36318877,217576728.36318877,1
mixed,meat,sheep,1527360133.658218,1527360133.658218,1
mixed,milk,sheep,413466080.723917,413466080.723917,1
