food_system,P_excreted,P_leached,prop_leached
NA,NA,NA,NA
chickens_industrial_meat,286174.7574625866,18601.359232122024,0.06499999998970522
chickens_industrial_eggs,833281.1279428271,54163.27331404237,0.06499999999731017
chickens_backyard_eggs&meat,379167.4695557171,24645.8855250777,0.06500000001043363
goats_grassland_milk,150589.03747419931,9904.551383251024,0.06577206116313739
goats_grassland_meat,725655.4085387664,49305.450613062676,0.06794609401774844
goats_mixed_milk,538576.3713582683,35007.464139557604,0.06500000000235837
goats_mixed_meat,2042586.8122886787,132768.1427917015,0.06499999999654232
sheep_grassland_milk,230910.90863542547,16395.23237688074,0.07100241592642301
sheep_grassland_meat,1079206.2061296038,77693.68175470982,0.07199150756679344
sheep_mixed_milk,445933.0858583194,28985.65057187334,0.06499999998000278
sheep_mixed_meat,1734758.1134906288,112759.27738228811,0.06500000000311124
cows_grassland_milk,632510.538055137,48237.54337565442,0.07626362008762212
cows_grassland_meat,2709915.2506998493,202944.96231687258,0.07488978198283544
cows_mixed_milk,1693499.052364328,110077.43839769435,0.06499999999646473
cows_mixed_meat,5283601.293485485,343434.08409080526,0.06500000000269679
cows_feedlot_meat,165133.82102908078,10733.698366751276,0.06499999999915841
pigs_backyard_meat,7175978.791021367,466438.62139220216,0.06499999999662949
pigs_intermediate_meat,7175978.791021367,466438.62139220216,0.06499999999662949
pigs_industrial_meat,7175978.791021367,466438.62139220216,0.06499999999662949
buffaloes_grassland_milk,15343.299245356573,1423.5935930922205,0.0927827561939164
buffaloes_mixed_milk,308477.0202074301,20051.006316033046,0.06500000000826671
