original_name,N,P,cf,cf_gf,animal,product,gf
beef > 2,59,11,0.186440678,0.184507141,cows,meat,gf with average of all cows meat
beef 1-2,46,9,0.195652174,0.184507141,cows,meat,gf with average of all cows meat
beef <1,35,6,0.171428571,0.184507141,cows,meat,gf with average of all cows meat
dairy cow,98,13,0.132653061,0.132653061,cows,milk,
pig slaughter,11,2,0.181818182,0.24009324,pigs,meat,gf with average of all pig meat
pig boar,13,4,0.307692308,0.24009324,pigs,meat,gf with average of all pig meat
pig sow,26,6,0.230769231,0.24009324,pigs,meat,gf with average of all pig meat
sheep,11.3,2.6,0.230088496,0.230088496,sheep,meat,
sheep,11.3,2.6,0.230088496,0.230088496,sheep,milk,
goat,13.5,3.1,0.22962963,0.22962963,goats,meat,
goat,13.5,3.1,0.22962963,0.22962963,goats,milk,
broiler,0.3,0.04,0.133333333,0.133333333,chickens,meat,
layer,0.7,0.18,0.257142857,0.257142857,chickens,eggs,
,,,,0.195238095,chickens,eggs&meat,gf with mean of layers and broilers
,,,,0.132653061,buffaloes,milk,gf with milk cow value
,,,,0.184507141,buffaloes,meat,
