food_system,N_excreted,N_volatized,prop_volatized
NA,NA,NA,NA
chickens_industrial_meat,2146310.686729704,963767.6480767011,0.4490345475310366
chickens_industrial_eggs,3240537.722017387,1325708.4934053367,0.40910139215414565
chickens_backyard_eggs&meat,1942077.2856884345,500736.6014048797,0.2578355686948765
goats_grassland_milk,655790.9685058899,174839.58812300296,0.2666087160690025
goats_grassland_meat,3160112.258978199,803610.0667572339,0.2542979492181318
goats_mixed_milk,2345413.225752111,701419.0436115136,0.2990598995136933
goats_mixed_meat,8895136.10396056,2535681.4209834533,0.2850638136784035
sheep_grassland_milk,1003574.3316496969,267924.4893591953,0.2669702491481376
sheep_grassland_meat,4690396.194859435,1193397.7270894723,0.25443431162540353
sheep_mixed_milk,1938093.7922804526,593424.9901479096,0.30619002677350193
sheep_mixed_meat,7539525.632094693,2165980.6813164856,0.28728341635927496
cows_grassland_milk,4768156.372109591,1229976.9552740513,0.25795650546793386
cows_grassland_meat,14687319.071069743,3804476.822105243,0.25903140005987124
cows_mixed_milk,12766377.493434709,4374978.357642106,0.3426953620862301
cows_mixed_meat,28636297.026395068,10823236.023372067,0.3779551529793086
cows_feedlot_meat,894999.6196422031,358977.8203445762,0.40109270715454154
pigs_backyard_meat,29888300.016371384,10579438.299195234,0.35396587605853536
pigs_intermediate_meat,29888300.016371384,11532368.712214533,0.3858489343956549
pigs_industrial_meat,29888300.016371384,11561251.616860809,0.386815295969597
buffaloes_grassland_milk,115664.87144994653,29054.78012425118,0.2511979632193212
buffaloes_mixed_milk,2325442.1556961695,720302.9394751237,0.3097488095804671
