animal,system,product,total_N_volt
buffaloes,grassland,milk,29054.78012425118
buffaloes,mixed,milk,720302.9394751237
chickens,backyard,eggs&meat,500736.6014048797
chickens,industrial,eggs,1325708.4934053367
chickens,industrial,meat,963767.648076701
cows,feedlot,meat,358977.8203445762
cows,grassland,meat,3804476.822105243
cows,grassland,milk,1229976.9552740513
cows,mixed,meat,10823236.023372067
cows,mixed,milk,4374978.357642106
goats,grassland,meat,803610.0667572339
goats,grassland,milk,174839.58812300296
goats,mixed,meat,2535681.4209834533
goats,mixed,milk,701419.0436115136
pigs,backyard,meat,10579438.299195234
pigs,industrial,meat,11561251.616860809
pigs,intermediate,meat,11532368.712214533
sheep,grassland,meat,1193397.7270894723
sheep,grassland,milk,267924.4893591953
sheep,mixed,meat,2165980.6813164856
sheep,mixed,milk,593424.9901479096
