iso3c,country,animal,product,tonnes_N_head
AFG,Afghanistan,cows,milk,0.047176249999999996
AFG,Afghanistan,cows,meat,0.013651000000000002
AFG,Afghanistan,chickens,meat,3.6135000000000003e-4
AFG,Afghanistan,chickens,eggs,5.3874e-4
AFG,Afghanistan,goats,milk,0.015001500000000001
AFG,Afghanistan,goats,meat,0.015001500000000001
AFG,Afghanistan,sheep,milk,0.0119574
AFG,Afghanistan,sheep,meat,0.0119574
AFG,Afghanistan,chickens,eggs&meat,4.5004500000000005e-4
CYP,Cyprus,cows,milk,0.07026249999999999
CYP,Cyprus,cows,meat,0.04988455
CYP,Cyprus,chickens,meat,3.6135000000000003e-4
CYP,Cyprus,chickens,eggs,5.3874e-4
CYP,Cyprus,pigs,meat,0.01500295106855121
CYP,Cyprus,goats,milk,0.015001500000000001
CYP,Cyprus,goats,meat,0.015001500000000001
CYP,Cyprus,sheep,milk,0.0119574
CYP,Cyprus,sheep,meat,0.0119574
CYP,Cyprus,chickens,eggs&meat,4.5004500000000005e-4
ALB,Albania,buffaloes,milk,0.044384
ALB,Albania,cows,milk,0.10511999999999999
ALB,Albania,cows,meat,0.050589
ALB,Albania,chickens,meat,3.6135000000000003e-4
ALB,Albania,chickens,eggs,6.3072e-4
ALB,Albania,pigs,meat,0.011412125059554547
ALB,Albania,goats,milk,0.0179872
ALB,Albania,goats,meat,0.0179872
ALB,Albania,sheep,milk,0.015047124999999998
ALB,Albania,sheep,meat,0.015047124999999998
ALB,Albania,chickens,eggs&meat,4.96035e-4
DZA,Algeria,cows,milk,0.060225
DZA,Algeria,cows,meat,0.03978135
DZA,Algeria,chickens,meat,3.6135e-4
DZA,Algeria,chickens,eggs,5.3874e-4
DZA,Algeria,pigs,meat,0.015002742326164128
DZA,Algeria,goats,milk,0.015001500000000001
DZA,Algeria,goats,meat,0.015001500000000001
DZA,Algeria,sheep,milk,0.0119574
DZA,Algeria,sheep,meat,0.0119574
DZA,Algeria,chickens,eggs&meat,4.50045e-4
ASM,American Samoa,cows,milk,0.0803
ASM,American Samoa,cows,meat,0.060224999999999994
ASM,American Samoa,chickens,meat,3.6135000000000003e-4
ASM,American Samoa,chickens,eggs,5.3874e-4
ASM,American Samoa,pigs,meat,0.010856925
ASM,American Samoa,chickens,eggs&meat,4.5004500000000005e-4
AGO,Angola,cows,milk,0.060225
AGO,Angola,cows,meat,0.03978135
AGO,Angola,chickens,meat,3.6135000000000003e-4
AGO,Angola,chickens,eggs,5.3874e-4
AGO,Angola,pigs,meat,0.01500295847129723
AGO,Angola,goats,milk,0.0150015
AGO,Angola,goats,meat,0.0150015
AGO,Angola,sheep,milk,0.0119574
AGO,Angola,sheep,meat,0.0119574
AGO,Angola,chickens,eggs&meat,4.5004500000000005e-4
ATG,Antigua and Barbuda,cows,milk,0.07008
ATG,Antigua and Barbuda,cows,meat,0.040077
ATG,Antigua and Barbuda,chickens,meat,3.6135000000000003e-4
ATG,Antigua and Barbuda,chickens,eggs,5.387400000000001e-4
ATG,Antigua and Barbuda,pigs,meat,0.015002960000000001
ATG,Antigua and Barbuda,goats,milk,0.015001500000000004
ATG,Antigua and Barbuda,goats,meat,0.015001500000000004
ATG,Antigua and Barbuda,sheep,milk,0.0119574
ATG,Antigua and Barbuda,sheep,meat,0.0119574
ATG,Antigua and Barbuda,chickens,eggs&meat,4.5004500000000005e-4
ARG,Argentina,cows,milk,0.07008
ARG,Argentina,cows,meat,0.040077
ARG,Argentina,chickens,meat,3.6135000000000003e-4
ARG,Argentina,chickens,eggs,5.3874e-4
ARG,Argentina,pigs,meat,0.015002960000000001
ARG,Argentina,goats,milk,0.015001500000000001
ARG,Argentina,goats,meat,0.015001500000000001
ARG,Argentina,sheep,milk,0.0119574
ARG,Argentina,sheep,meat,0.0119574
ARG,Argentina,chickens,eggs&meat,4.5004500000000005e-4
