food_system,N_excreted,N_leached,prop_leached
NA,NA,NA,NA
chickens_industrial_meat,2146310.686729704,347791.0645798838,0.16204134225777303
chickens_industrial_eggs,3240537.722017387,523537.97425994533,0.16155898161679733
chickens_backyard_eggs&meat,1942077.2856884345,392929.46877848776,0.2023243213203025
goats_grassland_milk,655790.9685058899,150021.41714130747,0.22876407932714626
goats_grassland_meat,3160112.258978199,763841.3292678202,0.24171335277652545
goats_mixed_milk,2345413.225752111,481181.1403020643,0.2051583640011932
goats_mixed_meat,8895136.10396056,1842127.6744430128,0.20709381541928348
sheep_grassland_milk,1003574.3316496969,266561.3779715437,0.26561199261978374
sheep_grassland_meat,4690396.194859435,1208501.8771577727,0.2576545406723344
sheep_mixed_milk,1938093.7922804526,332876.9169830652,0.1717548027391319
sheep_mixed_meat,7539525.632094693,1406911.2263999279,0.18660474080901138
cows_grassland_milk,4768156.372109591,1305327.9927524484,0.2737594765951285
cows_grassland_meat,14687319.071069743,4220783.563134299,0.28737603797606337
cows_mixed_milk,12766377.493434709,2090218.2101101743,0.16372837253050826
cows_mixed_meat,28636297.026395068,4221148.787023383,0.14740553861180458
cows_feedlot_meat,894999.6196422031,154249.2918198722,0.17234565069596
pigs_backyard_meat,29888300.016371384,5771548.361958598,0.19310393561350828
pigs_intermediate_meat,29888300.016371384,5191572.301133689,0.17369914977733739
pigs_industrial_meat,29888300.016371384,5178284.441094932,0.17325456577518678
buffaloes_grassland_milk,115664.87144994653,36984.90700411607,0.3197592020851476
buffaloes_mixed_milk,2325442.1556961695,493079.4921601762,0.21203687692354686
