animal,system,product,total_N_leached
buffaloes,grassland,milk,36984.90700411607
buffaloes,mixed,milk,493079.4921601762
chickens,backyard,eggs&meat,392929.46877848776
chickens,industrial,eggs,523537.97425994533
chickens,industrial,meat,347791.0645798838
cows,feedlot,meat,154249.2918198722
cows,grassland,meat,4220783.563134299
cows,grassland,milk,1305327.9927524484
cows,mixed,meat,4221148.787023383
cows,mixed,milk,2090218.2101101743
goats,grassland,meat,763841.3292678202
goats,grassland,milk,150021.41714130747
goats,mixed,meat,1842127.6744430128
goats,mixed,milk,481181.1403020643
pigs,backyard,meat,5771548.361958598
pigs,industrial,meat,5178284.441094933
pigs,intermediate,meat,5191572.301133689
sheep,grassland,meat,1208501.8771577727
sheep,grassland,milk,266561.37797154364
sheep,mixed,meat,1406911.2263999279
sheep,mixed,milk,332876.9169830652
