iso3c,animal,system,product,leach_n_spread_rate
ABW,chickens,industrial,eggs,2.5135714285714288e-5
AFG,chickens,industrial,eggs,7.644e-5
AGO,chickens,industrial,eggs,4.7385e-5
AIA,chickens,industrial,eggs,2.5135714285714288e-5
ALA,chickens,industrial,eggs,9.027358e-5
ALB,chickens,industrial,eggs,1.1486999999999999e-4
AND,chickens,industrial,eggs,8.94345e-5
ARE,chickens,industrial,eggs,5.148e-5
ARG,chickens,industrial,eggs,7.265160000000001e-5
ARM,chickens,industrial,eggs,5.9342399999999996e-5
ASM,chickens,industrial,eggs,6.3322875e-5
ATG,chickens,industrial,eggs,2.5135714285714288e-5
AUS,chickens,industrial,eggs,6.853769999999999e-5
AUT,chickens,industrial,eggs,6.67635e-5
AZE,chickens,industrial,eggs,6.55239e-5
BDI,chickens,industrial,eggs,4.617e-5
BEL,chickens,industrial,eggs,6.67635e-5
BEN,chickens,industrial,eggs,6.561e-5
BES,chickens,industrial,eggs,2.6609415584415587e-5
BFA,chickens,industrial,eggs,6.075e-5
BGD,chickens,industrial,eggs,5.2919999999999995e-5
BGR,chickens,industrial,eggs,9.248249999999997e-5
BHR,chickens,industrial,eggs,3.8325300000000004e-5
BHS,chickens,industrial,eggs,2.3970000000000003e-5
BIH,chickens,industrial,eggs,1.11588e-4
BLM,chickens,industrial,eggs,2.6609415584415587e-5
BLR,chickens,industrial,eggs,1.3793999999999997e-4
BLZ,chickens,industrial,eggs,2.7540000000000004e-5
BMU,chickens,industrial,eggs,7.915215e-5
BOL,chickens,industrial,eggs,9.57156e-5
BRA,chickens,industrial,eggs,1.0143e-4
BRB,chickens,industrial,eggs,2.5135714285714288e-5
BRN,chickens,industrial,eggs,1.4198700000000002e-4
BTN,chickens,industrial,eggs,6.615e-5
BWA,chickens,industrial,eggs,7.8975e-5
CAF,chickens,industrial,eggs,6.9255e-5
CAN,chickens,industrial,eggs,9.402479999999998e-5
CCK,chickens,industrial,eggs,6.903435e-5
CHE,chickens,industrial,eggs,1.4399999999999998e-4
CHL,chickens,industrial,eggs,6.688560000000001e-5
CHN,chickens,industrial,eggs,6.552000000000001e-5
CIV,chickens,industrial,eggs,7.8975e-5
CMR,chickens,industrial,eggs,6.075e-5
COD,chickens,industrial,eggs,4.0095e-5
COG,chickens,industrial,eggs,5.4674999999999994e-5
COK,chickens,industrial,eggs,6.3322875e-5
COL,chickens,industrial,eggs,2.907e-5
COM,chickens,industrial,eggs,8.748e-5
CPV,chickens,industrial,eggs,6.431400000000001e-5
CRI,chickens,industrial,eggs,3.2130000000000006e-5
CUB,chickens,industrial,eggs,2.3970000000000003e-5
CUW,chickens,industrial,eggs,2.6609415584415587e-5
CXR,chickens,industrial,eggs,6.903435e-5
CYM,chickens,industrial,eggs,2.5135714285714288e-5
CYP,chickens,industrial,eggs,6.92328e-5
CZE,chickens,industrial,eggs,7.8375e-5
DEU,chickens,industrial,eggs,6.10815e-5
DJI,chickens,industrial,eggs,5.8239e-5
DMA,chickens,industrial,eggs,4.08e-5
DNK,chickens,industrial,eggs,9.11214e-5
DOM,chickens,industrial,eggs,1.3260000000000002e-5
DZA,chickens,industrial,eggs,7.6545e-5
ECU,chickens,industrial,eggs,9.340920000000001e-5
EGY,chickens,industrial,eggs,5.346e-5
ERI,chickens,industrial,eggs,6.4395e-5
ESH,chickens,industrial,eggs,6.7635e-5
ESP,chickens,industrial,eggs,9.108e-5
EST,chickens,industrial,eggs,8.671229999999999e-5
ETH,chickens,industrial,eggs,5.7104999999999996e-5
FIN,chickens,industrial,eggs,8.33085e-5
FJI,chickens,industrial,eggs,5.761140000000001e-5
FLK,chickens,industrial,eggs,7.105486153846154e-5
FRA,chickens,industrial,eggs,7.6299e-5
FRO,chickens,industrial,eggs,9.053351999999999e-5
FSM,chickens,industrial,eggs,6.3322875e-5
