iso3c,animal,system,product,leach_n_spread_rate
ABW,chickens,industrial,meat,7.984285714285715e-5
AFG,chickens,industrial,meat,8.424e-5
AGO,chickens,industrial,meat,6.318e-5
AIA,chickens,industrial,meat,7.984285714285715e-5
ALA,chickens,industrial,meat,1.0348800000000001e-4
ALB,chickens,industrial,meat,1.1760000000000001e-4
AND,chickens,industrial,meat,9.156000000000001e-5
ARE,chickens,industrial,meat,7.128000000000001e-5
ARG,chickens,industrial,meat,1.0206000000000001e-4
ARM,chickens,industrial,meat,7.776e-5
ASM,chickens,industrial,meat,1.1092499999999999e-4
ATG,chickens,industrial,meat,7.984285714285715e-5
AUS,chickens,industrial,meat,1.2005999999999999e-4
AUT,chickens,industrial,meat,7.896e-5
AZE,chickens,industrial,meat,8.586e-5
BDI,chickens,industrial,meat,6.156e-5
BEL,chickens,industrial,meat,7.896e-5
BEN,chickens,industrial,meat,8.748000000000001e-5
BES,chickens,industrial,meat,8.452402597402598e-5
BFA,chickens,industrial,meat,8.1e-5
BGD,chickens,industrial,meat,5.832e-5
BGR,chickens,industrial,meat,9.912e-5
BHR,chickens,industrial,meat,5.0220000000000004e-5
BHS,chickens,industrial,meat,7.614e-5
BIH,chickens,industrial,meat,1.1424000000000002e-4
BLM,chickens,industrial,meat,8.452402597402598e-5
BLR,chickens,industrial,meat,1.4784000000000002e-4
BLZ,chickens,industrial,meat,8.748000000000001e-5
BMU,chickens,industrial,meat,1.2936000000000002e-4
BOL,chickens,industrial,meat,1.3446e-4
BRA,chickens,industrial,meat,1.1178e-4
BRB,chickens,industrial,meat,7.984285714285715e-5
BRN,chickens,industrial,meat,1.5228e-4
BTN,chickens,industrial,meat,7.29e-5
BWA,chickens,industrial,meat,1.053e-4
CAF,chickens,industrial,meat,9.234e-5
CAN,chickens,industrial,meat,1.2096e-4
CCK,chickens,industrial,meat,1.2092999999999998e-4
CHE,chickens,industrial,meat,1.008e-4
CHL,chickens,industrial,meat,9.396e-5
CHN,chickens,industrial,meat,9.072000000000001e-5
CIV,chickens,industrial,meat,1.053e-4
CMR,chickens,industrial,meat,8.1e-5
COD,chickens,industrial,meat,5.346e-5
COG,chickens,industrial,meat,7.29e-5
COK,chickens,industrial,meat,1.1092499999999999e-4
COL,chickens,industrial,meat,9.234e-5
COM,chickens,industrial,meat,1.1664e-4
CPV,chickens,industrial,meat,8.575200000000002e-5
CRI,chickens,industrial,meat,1.0206000000000001e-4
CUB,chickens,industrial,meat,7.614e-5
CUW,chickens,industrial,meat,8.452402597402598e-5
CXR,chickens,industrial,meat,1.2092999999999998e-4
CYM,chickens,industrial,meat,7.984285714285715e-5
CYP,chickens,industrial,meat,9.072000000000001e-5
CZE,chickens,industrial,meat,8.400000000000001e-5
DEU,chickens,industrial,meat,7.224e-5
DJI,chickens,industrial,meat,7.765200000000001e-5
DMA,chickens,industrial,meat,1.296e-4
DNK,chickens,industrial,meat,1.0416e-4
DOM,chickens,industrial,meat,4.212e-5
DZA,chickens,industrial,meat,1.0206000000000001e-4
ECU,chickens,industrial,meat,1.3122e-4
EGY,chickens,industrial,meat,7.128000000000001e-5
ERI,chickens,industrial,meat,8.586e-5
ESH,chickens,industrial,meat,9.018000000000001e-5
ESP,chickens,industrial,meat,7.728e-5
EST,chickens,industrial,meat,9.912e-5
ETH,chickens,industrial,meat,7.614e-5
FIN,chickens,industrial,meat,9.240000000000001e-5
FJI,chickens,industrial,meat,1.0092000000000002e-4
