iso3c,animal,system,product,leach_n_spread_rate
ABW,sheep,mixed,meat,4.7272999999999993e-4
AFG,sheep,mixed,meat,5.215199999999999e-4
AGO,sheep,mixed,meat,4.1943e-4
AIA,sheep,mixed,meat,4.7272999999999993e-4
ALA,sheep,mixed,meat,4.0019938269230765e-4
ALB,sheep,mixed,meat,3.393936e-4
AND,sheep,mixed,meat,3.464496e-4
ARE,sheep,mixed,meat,4.1376e-4
ARG,sheep,mixed,meat,5.9901e-4
ARM,sheep,mixed,meat,4.1088e-4
ASM,sheep,mixed,meat,4.4824860709199635e-4
ATG,sheep,mixed,meat,4.7272999999999993e-4
AUS,sheep,mixed,meat,4.4824860709199635e-4
AUT,sheep,mixed,meat,8.874683999999998e-4
AZE,sheep,mixed,meat,3.5712000000000005e-4
BDI,sheep,mixed,meat,3.1242e-4
BEL,sheep,mixed,meat,8.493659999999998e-4
BEN,sheep,mixed,meat,3.8252999999999996e-4
BES,sheep,mixed,meat,4.6921826086956513e-4
BFA,sheep,mixed,meat,4.0097999999999995e-4
BGD,sheep,mixed,meat,3.0995999999999997e-4
BGR,sheep,mixed,meat,5.4684e-4
BHR,sheep,mixed,meat,3.5136e-4
BHS,sheep,mixed,meat,5.448899999999999e-4
BIH,sheep,mixed,meat,3.393936e-4
BLM,sheep,mixed,meat,4.6921826086956513e-4
BLR,sheep,mixed,meat,7.794864000000003e-4
BLZ,sheep,mixed,meat,5.559599999999999e-4
BMU,sheep,mixed,meat,7.669368e-4
BOL,sheep,mixed,meat,6.223799999999999e-4
BRA,sheep,mixed,meat,6.15e-4
BRB,sheep,mixed,meat,4.7272999999999993e-4
BRN,sheep,mixed,meat,1.8080999999999997e-4
BTN,sheep,mixed,meat,4.6862999999999994e-4
BWA,sheep,mixed,meat,4.4034e-4
CAF,sheep,mixed,meat,4.5386999999999994e-4
CAN,sheep,mixed,meat,7.173936e-4
CCK,sheep,mixed,meat,4.4824860709199635e-4
CHE,sheep,mixed,meat,0.001106784
CHL,sheep,mixed,meat,7.011e-4
CHN,sheep,mixed,meat,4.9569e-4
CIV,sheep,mixed,meat,3.4070999999999993e-4
CMR,sheep,mixed,meat,4.2435e-4
COD,sheep,mixed,meat,3.8867999999999997e-4
COG,sheep,mixed,meat,4.2188999999999996e-4
COK,sheep,mixed,meat,4.4824860709199635e-4
