iso3c,animal,system,product,leach_n_spread_rate
ABW,buffaloes,mixed,meat,0.005006134779545455
AFG,buffaloes,mixed,meat,0.0034745759999999996
AGO,buffaloes,mixed,meat,0.0036184050000000003
AIA,buffaloes,mixed,meat,0.005006134779545455
ALA,buffaloes,mixed,meat,0.005920182622607288
ALB,buffaloes,mixed,meat,0.006991468200000002
AND,buffaloes,mixed,meat,0.0031554414000000003
ARE,buffaloes,mixed,meat,0.004920733125
ARG,buffaloes,mixed,meat,0.0053253543000000006
ARM,buffaloes,mixed,meat,0.004920733125
ASM,buffaloes,mixed,meat,0.004711432407986412
ATG,buffaloes,mixed,meat,0.005006134779545455
AUS,buffaloes,mixed,meat,0.004711432407986412
AUT,buffaloes,mixed,meat,0.007548452037680405
AZE,buffaloes,mixed,meat,0.0053570475
BDI,buffaloes,mixed,meat,0.0036184050000000003
BEL,buffaloes,mixed,meat,0.004584535942307693
BEN,buffaloes,mixed,meat,0.0036184050000000003
BES,buffaloes,mixed,meat,0.005006134779545455
BFA,buffaloes,mixed,meat,0.0036184050000000003
BGD,buffaloes,mixed,meat,0.002861207999999999
BGR,buffaloes,mixed,meat,0.0065258844
BHR,buffaloes,mixed,meat,0.004920733125
BHS,buffaloes,mixed,meat,0.005006134779545455
BIH,buffaloes,mixed,meat,0.007654320420000001
BLM,buffaloes,mixed,meat,0.005006134779545455
BLR,buffaloes,mixed,meat,0.006512622400000001
BLZ,buffaloes,mixed,meat,0.0045866793
BMU,buffaloes,mixed,meat,0.00509348175
BOL,buffaloes,mixed,meat,0.005245823625000001
BRA,buffaloes,mixed,meat,0.0051953475
BRB,buffaloes,mixed,meat,0.005006134779545455
BRN,buffaloes,mixed,meat,0.0036415575000000003
BTN,buffaloes,mixed,meat,0.0036285479999999997
BWA,buffaloes,mixed,meat,0.0036184050000000003
CAF,buffaloes,mixed,meat,0.0036184050000000003
CAN,buffaloes,mixed,meat,0.004683441
CCK,buffaloes,mixed,meat,0.004711432407986412
CHE,buffaloes,mixed,meat,0.007065169402307693
CHL,buffaloes,mixed,meat,0.005245823625000001
CHN,buffaloes,mixed,meat,0.00345744
CIV,buffaloes,mixed,meat,0.0036184050000000003
CMR,buffaloes,mixed,meat,0.0036184050000000003
COD,buffaloes,mixed,meat,0.0036184050000000003
COG,buffaloes,mixed,meat,0.0036184050000000003
COK,buffaloes,mixed,meat,0.004711432407986412
COL,buffaloes,mixed,meat,0.005171709900000001
COM,buffaloes,mixed,meat,0.0036184050000000003
CPV,buffaloes,mixed,meat,0.0036184050000000003
CRI,buffaloes,mixed,meat,0.0045866793
CUB,buffaloes,mixed,meat,0.005006134779545455
CUW,buffaloes,mixed,meat,0.005006134779545455
CXR,buffaloes,mixed,meat,0.004711432407986412
CYM,buffaloes,mixed,meat,0.005006134779545455
CYP,buffaloes,mixed,meat,0.004920733125
CZE,buffaloes,mixed,meat,0.0053821186
DEU,buffaloes,mixed,meat,0.00753192974846154
DJI,buffaloes,mixed,meat,0.0036184050000000003
DMA,buffaloes,mixed,meat,0.005006134779545455
DNK,buffaloes,mixed,meat,0.00602827875930288
DOM,buffaloes,mixed,meat,0.005006134779545455
DZA,buffaloes,mixed,meat,0.0036184050000000003
ECU,buffaloes,mixed,meat,0.005245823625000001
EGY,buffaloes,mixed,meat,0.0036184050000000003
ERI,buffaloes,mixed,meat,0.0036184050000000003
ESH,buffaloes,mixed,meat,0.0036184050000000003
ESP,buffaloes,mixed,meat,0.0031554414000000003
EST,buffaloes,mixed,meat,0.0059286475153846165
ETH,buffaloes,mixed,meat,0.0036184050000000003
FIN,buffaloes,mixed,meat,0.00913109816153846
FJI,buffaloes,mixed,meat,0.004711432407986412
FLK,buffaloes,mixed,meat,0.005245823625000001
FRA,buffaloes,mixed,meat,0.005267588286153846
FRO,buffaloes,mixed,meat,0.005852067173846154
FSM,buffaloes,mixed,meat,0.004711432407986412
GAB,buffaloes,mixed,meat,0.0036184050000000003
GBR,buffaloes,mixed,meat,0.005852067173846154
GEO,buffaloes,mixed,meat,0.0050439375
GGY,buffaloes,mixed,meat,0.005852067173846154
GHA,buffaloes,mixed,meat,0.0036184050000000003
GIB,buffaloes,mixed,meat,0.006681289204285715
GIN,buffaloes,mixed,meat,0.0036184050000000003
GLP,buffaloes,mixed,meat,0.005006134779545455
GMB,buffaloes,mixed,meat,0.0036184050000000003
GNB,buffaloes,mixed,meat,0.0036184050000000003
GNQ,buffaloes,mixed,meat,0.0036184050000000003
GRC,buffaloes,mixed,meat,0.005983131600000001
GRD,buffaloes,mixed,meat,0.005006134779545455
GRL,buffaloes,mixed,meat,0.00509348175
GTM,buffaloes,mixed,meat,0.0045866793
GUF,buffaloes,mixed,meat,0.005245823625000001
GUM,buffaloes,mixed,meat,0.004711432407986412
GUY,buffaloes,mixed,meat,0.005245823625000001
HKG,buffaloes,mixed,meat,0.0037451925000000002
HND,buffaloes,mixed,meat,0.0045866793
HRV,buffaloes,mixed,meat,0.00810047124
HTI,buffaloes,mixed,meat,0.005006134779545455
HUN,buffaloes,mixed,meat,0.006248148083660001
IDN,buffaloes,mixed,meat,0.0035015400000000005
IMN,buffaloes,mixed,meat,0.005852067173846154
IND,buffaloes,mixed,meat,0.0071565479999999996
IOT,buffaloes,mixed,meat,0.0036184050000000003
IRL,buffaloes,mixed,meat,0.0030687234082679795
IRN,buffaloes,mixed,meat,0.0037343879999999995
IRQ,buffaloes,mixed,meat,0.004920733125
ISL,buffaloes,mixed,meat,0.005912825130769231
ISR,buffaloes,mixed,meat,0.004920733125
ITA,buffaloes,mixed,meat,0.009463352339999998
JAM,buffaloes,mixed,meat,0.005006134779545455
JEY,buffaloes,mixed,meat,0.005852067173846154
JOR,buffaloes,mixed,meat,0.004920733125
JPN,buffaloes,mixed,meat,0.00360131625
KAZ,buffaloes,mixed,meat,0.0034560141000000008
KEN,buffaloes,mixed,meat,0.0036184050000000003
KGZ,buffaloes,mixed,meat,0.0034560141000000008
KHM,buffaloes,mixed,meat,0.0034662600000000005
KIR,buffaloes,mixed,meat,0.004711432407986412
KNA,buffaloes,mixed,meat,0.005006134779545455
KOR,buffaloes,mixed,meat,0.00360131625
KWT,buffaloes,mixed,meat,0.004920733125
