iso3c,animal,system,product,leach_n_spread_rate
MMR,cows,mixed,milk,0.00427536
MNE,cows,mixed,milk,0.006977754420000001
MNG,cows,mixed,milk,0.00441792
MNP,cows,mixed,milk,5.999259e-4
MOZ,cows,mixed,milk,0.00527472
MRT,cows,mixed,milk,0.00460368
MSR,cows,mixed,milk,0.0043755823999999995
MTQ,cows,mixed,milk,0.0045011136
MUS,cows,mixed,milk,0.004405859999999999
MWI,cows,mixed,milk,0.004319999999999999
MYS,cows,mixed,milk,0.0035596799999999995
MYT,cows,mixed,milk,0.0019598399999999996
NAM,cows,mixed,milk,0.0038116799999999996
NCL,cows,mixed,milk,5.999259e-4
NER,cows,mixed,milk,0.00445968
NFK,cows,mixed,milk,5.999259e-4
NGA,cows,mixed,milk,0.00409104
NIC,cows,mixed,milk,0.0057900864
NIU,cows,mixed,milk,5.999259e-4
NLD,cows,mixed,milk,0.008990929200000001
NOR,cows,mixed,milk,0.008430543
NPL,cows,mixed,milk,0.003454848
NRU,cows,mixed,milk,5.999259e-4
NZL,cows,mixed,milk,4.1257499999999993e-4
OMN,cows,mixed,milk,0.004361759999999999
PAK,cows,mixed,milk,0.004025088
PAN,cows,mixed,milk,0.004586016
PCN,cows,mixed,milk,5.999259e-4
PER,cows,mixed,milk,0.004774464
PHL,cows,mixed,milk,0.00356832
PLW,cows,mixed,milk,5.999259e-4
PNG,cows,mixed,milk,5.999259e-4
POL,cows,mixed,milk,0.0083651712
PRI,cows,mixed,milk,0.0044535168
PRK,cows,mixed,milk,0.00424512
PRT,cows,mixed,milk,0.00690033711
PRY,cows,mixed,milk,0.0054311808
PSE,cows,mixed,milk,0.008873279999999999
PYF,cows,mixed,milk,5.999259e-4
QAT,cows,mixed,milk,0.00451728
REU,cows,mixed,milk,0.004405859999999999
ROU,cows,mixed,milk,0.007494163200000001
RUS,cows,mixed,milk,0.006853077
RWA,cows,mixed,milk,0.00409392
SAU,cows,mixed,milk,0.00606384
SDN,cows,mixed,milk,0.0034067999999999998
SEN,cows,mixed,milk,0.004639679999999999
SGP,cows,mixed,milk,0.004178879999999999
SHN,cows,mixed,milk,0.00215712
SJM,cows,mixed,milk,0.008509167333333335
SLB,cows,mixed,milk,5.999259e-4
SLE,cows,mixed,milk,0.004688640000000001
SLV,cows,mixed,milk,0.0046194624
SMR,cows,mixed,milk,0.008369928700000001
SOM,cows,mixed,milk,0.0044985599999999995
SPM,cows,mixed,milk,0.009506478845999998
SRB,cows,mixed,milk,0.0070120150800000005
SSD,cows,mixed,milk,0.004405859999999999
STP,cows,mixed,milk,0.00385344
SUR,cows,mixed,milk,0.0047198016
SVK,cows,mixed,milk,0.009047849280000003
SVN,cows,mixed,milk,0.00794357874
SWE,cows,mixed,milk,0.009223401
SWZ,cows,mixed,milk,0.00446976
SXM,cows,mixed,milk,0.004361679026086957
SYC,cows,mixed,milk,0.004405859999999999
SYR,cows,mixed,milk,0.00447408
TCA,cows,mixed,milk,0.0043755823999999995
TCD,cows,mixed,milk,0.0048528
TGO,cows,mixed,milk,0.0044784000000000004
THA,cows,mixed,milk,0.0035409599999999997
TJK,cows,mixed,milk,0.0066172416000000005
TKL,cows,mixed,milk,5.999259e-4
TKM,cows,mixed,milk,0.0066584064000000005
TLS,cows,mixed,milk,0.004615199999999999
TON,cows,mixed,milk,5.999259e-4
TTO,cows,mixed,milk,0.0043755823999999995
TUN,cows,mixed,milk,0.0037180799999999995
TUR,cows,mixed,milk,0.004955039999999999
TUV,cows,mixed,milk,5.999259e-4
TWN,cows,mixed,milk,0.0054636
TZA,cows,mixed,milk,0.005395679999999999
UGA,cows,mixed,milk,0.005363999999999999
UKR,cows,mixed,milk,0.0075665898
URY,cows,mixed,milk,0.0054723456
USA,cows,mixed,milk,0.010957711691999997
UZB,cows,mixed,milk,0.0068668032
VCT,cows,mixed,milk,0.0037678656000000002
VEN,cows,mixed,milk,0.0057720768
VGB,cows,mixed,milk,0.0043755823999999995
VIR,cows,mixed,milk,0.0043755823999999995
VNM,cows,mixed,milk,0.0041903999999999995
VUT,cows,mixed,milk,5.999259e-4
WLF,cows,mixed,milk,5.999259e-4
WSM,cows,mixed,milk,5.999259e-4
XKO,cows,mixed,milk,0.008151368652142858
XMI,cows,mixed,milk,0.005171341714285715
YEM,cows,mixed,milk,0.00454176
ZAF,cows,mixed,milk,0.00602208
ZMB,cows,mixed,milk,0.004691519999999999
ZWE,cows,mixed,milk,0.004759199999999999
