iso3c,animal,system,product,leach_n_spread_rate
ABW,pigs,backyard,meat,0.0025288279999999995
AFG,pigs,backyard,meat,0.0023567627999999995
AGO,pigs,backyard,meat,0.0012547289999999998
AIA,pigs,backyard,meat,0.0025288279999999995
ALA,pigs,backyard,meat,0.0033818444999999995
ALB,pigs,backyard,meat,0.0033693389999999994
AND,pigs,backyard,meat,0.0032864156249999997
ARE,pigs,backyard,meat,0.0023195668124999995
ARG,pigs,backyard,meat,0.0039190725
ARM,pigs,backyard,meat,0.0020228984999999997
ASM,pigs,backyard,meat,0.003116758499999999
ATG,pigs,backyard,meat,0.0031947089999999996
AUS,pigs,backyard,meat,0.0020341125
AUT,pigs,backyard,meat,0.0037230659999999997
AZE,pigs,backyard,meat,0.0024406199999999997
BDI,pigs,backyard,meat,9.402644999999999e-4
BEL,pigs,backyard,meat,0.0023778314999999997
BEN,pigs,backyard,meat,0.0018852224999999997
BES,pigs,backyard,meat,0.0025106240869565213
BFA,pigs,backyard,meat,0.0011874554999999998
BGD,pigs,backyard,meat,0.0018946094999999995
BGR,pigs,backyard,meat,0.0034104375
BHR,pigs,backyard,meat,0.0023195668124999995
BHS,pigs,backyard,meat,0.0033339494999999994
BIH,pigs,backyard,meat,0.0029495114999999994
BLM,pigs,backyard,meat,0.0025106240869565213
BLR,pigs,backyard,meat,0.0034386374999999998
BLZ,pigs,backyard,meat,0.0022481865
BMU,pigs,backyard,meat,0.0021205754999999993
BOL,pigs,backyard,meat,0.0032369504999999995
BRA,pigs,backyard,meat,0.0026189729999999993
BRB,pigs,backyard,meat,0.0012328259999999998
BRN,pigs,backyard,meat,0.0033934004999999997
BTN,pigs,backyard,meat,0.0019728345
BWA,pigs,backyard,meat,0.0013939694999999996
CAF,pigs,backyard,meat,0.0016411605
CAN,pigs,backyard,meat,0.0023295959999999998
CCK,pigs,backyard,meat,0.00203826375
CHE,pigs,backyard,meat,0.0033943499999999995
CHL,pigs,backyard,meat,0.0033683685
CHN,pigs,backyard,meat,0.0022638314999999997
CIV,pigs,backyard,meat,0.001999431
CMR,pigs,backyard,meat,0.0013986629999999999
COD,pigs,backyard,meat,9.465224999999998e-4
COG,pigs,backyard,meat,0.0012469064999999998
COK,pigs,backyard,meat,0.003184838999999999
COL,pigs,backyard,meat,0.0022466219999999998
COM,pigs,backyard,meat,0.0011942349999999999
CPV,pigs,backyard,meat,0.002230977
CRI,pigs,backyard,meat,0.002418717
CUB,pigs,backyard,meat,0.0019634475
CUW,pigs,backyard,meat,0.0025106240869565213
CXR,pigs,backyard,meat,0.00203826375
CYM,pigs,backyard,meat,0.0030585975
CYP,pigs,backyard,meat,0.0029788079999999995
CZE,pigs,backyard,meat,0.0033364124999999993
DEU,pigs,backyard,meat,0.0037034144999999997
DJI,pigs,backyard,meat,0.0011942349999999999
DMA,pigs,backyard,meat,0.0036593654999999997
DNK,pigs,backyard,meat,0.0036069434999999993
DOM,pigs,backyard,meat,0.0025610865
DZA,pigs,backyard,meat,0.001965012
ECU,pigs,backyard,meat,0.002644004999999999
EGY,pigs,backyard,meat,0.0012781964999999998
ERI,pigs,backyard,meat,0.0011942349999999999
ESH,pigs,backyard,meat,0.0018597993749999995
ESP,pigs,backyard,meat,0.0031478129999999997
EST,pigs,backyard,meat,0.003414001499999999
ETH,pigs,backyard,meat,0.0011827619999999997
FIN,pigs,backyard,meat,0.0033961365
FJI,pigs,backyard,meat,0.0041827995
FLK,pigs,backyard,meat,0.0031978379999999997
FRA,pigs,backyard,meat,0.0026225819999999996
FRO,pigs,backyard,meat,0.0033818444999999995
FSM,pigs,backyard,meat,0.0030420359999999993
GAB,pigs,backyard,meat,9.715544999999999e-4
GBR,pigs,backyard,meat,0.0033461144999999996
GEO,pigs,backyard,meat,0.0022450574999999997
GGY,pigs,backyard,meat,0.0033818444999999995
GHA,pigs,backyard,meat,0.0016036124999999999
GIB,pigs,backyard,meat,0.0032864156249999997
GIN,pigs,backyard,meat,0.0023483144999999995
GLP,pigs,backyard,meat,0.0018539324999999997
GMB,pigs,backyard,meat,0.0013407764999999996
GNB,pigs,backyard,meat,0.0022732184999999998
GNQ,pigs,backyard,meat,0.0019071254999999997
GRC,pigs,backyard,meat,0.0033961365
GRD,pigs,backyard,meat,0.003858057
GRL,pigs,backyard,meat,0.0021205754999999993
GTM,pigs,backyard,meat,0.0022012514999999997
GUF,pigs,backyard,meat,0.0019743989999999995
