iso3c,animal,system,product,leach_n_spread_rate
ABW,goats,grassland,meat,0
AFG,goats,grassland,meat,0
AGO,goats,grassland,meat,0
AIA,goats,grassland,meat,0
ALA,goats,grassland,meat,0
ALB,goats,grassland,meat,0
AND,goats,grassland,meat,0
ARE,goats,grassland,meat,0
ARG,goats,grassland,meat,0
ARM,goats,grassland,meat,0
ASM,goats,grassland,meat,0
ATG,goats,grassland,meat,0
AUS,goats,grassland,meat,0
AUT,goats,grassland,meat,0
AZE,goats,grassland,meat,0
BDI,goats,grassland,meat,0
BEL,goats,grassland,meat,0
BEN,goats,grassland,meat,0
BES,goats,grassland,meat,0
BFA,goats,grassland,meat,0
BGD,goats,grassland,meat,0
BGR,goats,grassland,meat,0
BHR,goats,grassland,meat,0
BHS,goats,grassland,meat,0
BIH,goats,grassland,meat,0
BLM,goats,grassland,meat,0
BLR,goats,grassland,meat,0
BLZ,goats,grassland,meat,0
BMU,goats,grassland,meat,0
BOL,goats,grassland,meat,0
BRA,goats,grassland,meat,0
BRB,goats,grassland,meat,0
BRN,goats,grassland,meat,0
BTN,goats,grassland,meat,0
BWA,goats,grassland,meat,0
CAF,goats,grassland,meat,0
CAN,goats,grassland,meat,0
CCK,goats,grassland,meat,0
CHE,goats,grassland,meat,0
CHL,goats,grassland,meat,0
CHN,goats,grassland,meat,0
CIV,goats,grassland,meat,0
CMR,goats,grassland,meat,0
COD,goats,grassland,meat,0
COG,goats,grassland,meat,0
COK,goats,grassland,meat,0
COL,goats,grassland,meat,0
COM,goats,grassland,meat,0
CPV,goats,grassland,meat,0
CRI,goats,grassland,meat,0
CUB,goats,grassland,meat,0
CUW,goats,grassland,meat,0
CXR,goats,grassland,meat,0
CYM,goats,grassland,meat,0
CYP,goats,grassland,meat,0
CZE,goats,grassland,meat,0
DEU,goats,grassland,meat,0
DJI,goats,grassland,meat,0
DMA,goats,grassland,meat,0
DNK,goats,grassland,meat,0
DOM,goats,grassland,meat,0
DZA,goats,grassland,meat,0
ECU,goats,grassland,meat,0
EGY,goats,grassland,meat,0
ERI,goats,grassland,meat,0
ESH,goats,grassland,meat,0
ESP,goats,grassland,meat,0
EST,goats,grassland,meat,0
ETH,goats,grassland,meat,0
FIN,goats,grassland,meat,0
FJI,goats,grassland,meat,0
FLK,goats,grassland,meat,0
FRA,goats,grassland,meat,0
FRO,goats,grassland,meat,0
FSM,goats,grassland,meat,0
GAB,goats,grassland,meat,0
GBR,goats,grassland,meat,0
GEO,goats,grassland,meat,0
GGY,goats,grassland,meat,0
GHA,goats,grassland,meat,0
GIB,goats,grassland,meat,0
GIN,goats,grassland,meat,0
GLP,goats,grassland,meat,0
GMB,goats,grassland,meat,0
GNB,goats,grassland,meat,0
GNQ,goats,grassland,meat,0
GRC,goats,grassland,meat,0
GRD,goats,grassland,meat,0
GRL,goats,grassland,meat,0
GTM,goats,grassland,meat,0
GUF,goats,grassland,meat,0
GUM,goats,grassland,meat,0
GUY,goats,grassland,meat,0
HKG,goats,grassland,meat,0
HND,goats,grassland,meat,0
HRV,goats,grassland,meat,0
HTI,goats,grassland,meat,0
HUN,goats,grassland,meat,0
IDN,goats,grassland,meat,0
IMN,goats,grassland,meat,0
IND,goats,grassland,meat,0
IOT,goats,grassland,meat,0
IRL,goats,grassland,meat,0
IRN,goats,grassland,meat,0
IRQ,goats,grassland,meat,0
ISL,goats,grassland,meat,0
ISR,goats,grassland,meat,0
ITA,goats,grassland,meat,0
JAM,goats,grassland,meat,0
JEY,goats,grassland,meat,0
JOR,goats,grassland,meat,0
JPN,goats,grassland,meat,0
KAZ,goats,grassland,meat,0
KEN,goats,grassland,meat,0
KGZ,goats,grassland,meat,0
KHM,goats,grassland,meat,0
KIR,goats,grassland,meat,0
KNA,goats,grassland,meat,0
KOR,goats,grassland,meat,0
KWT,goats,grassland,meat,0
LAO,goats,grassland,meat,0
LBN,goats,grassland,meat,0
LBR,goats,grassland,meat,0
LBY,goats,grassland,meat,0
LCA,goats,grassland,meat,0
LIE,goats,grassland,meat,0
LKA,goats,grassland,meat,0
LSO,goats,grassland,meat,0
LTU,goats,grassland,meat,0
LUX,goats,grassland,meat,0
LVA,goats,grassland,meat,0
MAC,goats,grassland,meat,0
MAF,goats,grassland,meat,0
MAR,goats,grassland,meat,0
MCO,goats,grassland,meat,0
MDA,goats,grassland,meat,0
MDG,goats,grassland,meat,0
MDV,goats,grassland,meat,0
MEX,goats,grassland,meat,0
MHL,goats,grassland,meat,0
MKD,goats,grassland,meat,0
MLI,goats,grassland,meat,0
MLT,goats,grassland,meat,0
MMR,goats,grassland,meat,0
MNE,goats,grassland,meat,0
MNG,goats,grassland,meat,0
MNP,goats,grassland,meat,0
MOZ,goats,grassland,meat,0
MRT,goats,grassland,meat,0
MSR,goats,grassland,meat,0
MTQ,goats,grassland,meat,0
MUS,goats,grassland,meat,0
MWI,goats,grassland,meat,0
MYS,goats,grassland,meat,0
MYT,goats,grassland,meat,0
NAM,goats,grassland,meat,0
NCL,goats,grassland,meat,0
NER,goats,grassland,meat,0
NFK,goats,grassland,meat,0
NGA,goats,grassland,meat,0
NIC,goats,grassland,meat,0
NIU,goats,grassland,meat,0
NLD,goats,grassland,meat,0
NOR,goats,grassland,meat,0
NPL,goats,grassland,meat,0
NRU,goats,grassland,meat,0
NZL,goats,grassland,meat,0
OMN,goats,grassland,meat,0
PAK,goats,grassland,meat,0
PAN,goats,grassland,meat,0
PCN,goats,grassland,meat,0
PER,goats,grassland,meat,0
PHL,goats,grassland,meat,0
