iso3c,animal,system,product,leach_n_spread_rate
ABW,cows,grassland,meat,0
AFG,cows,grassland,meat,0
AGO,cows,grassland,meat,0
AIA,cows,grassland,meat,0
ALA,cows,grassland,meat,0
ALB,cows,grassland,meat,0
AND,cows,grassland,meat,0
ARE,cows,grassland,meat,0
ARG,cows,grassland,meat,0
ARM,cows,grassland,meat,0
ASM,cows,grassland,meat,0
ATG,cows,grassland,meat,0
AUS,cows,grassland,meat,0
AUT,cows,grassland,meat,0
AZE,cows,grassland,meat,0
BDI,cows,grassland,meat,0
BEL,cows,grassland,meat,0
BEN,cows,grassland,meat,0
BES,cows,grassland,meat,0
BFA,cows,grassland,meat,0
BGD,cows,grassland,meat,0
BGR,cows,grassland,meat,0
BHR,cows,grassland,meat,0
BHS,cows,grassland,meat,0
BIH,cows,grassland,meat,0
BLM,cows,grassland,meat,0
BLR,cows,grassland,meat,0
BLZ,cows,grassland,meat,0
BMU,cows,grassland,meat,0
BOL,cows,grassland,meat,0
BRA,cows,grassland,meat,0
BRB,cows,grassland,meat,0
BRN,cows,grassland,meat,0
BTN,cows,grassland,meat,0
BWA,cows,grassland,meat,0
CAF,cows,grassland,meat,0
CAN,cows,grassland,meat,0
CCK,cows,grassland,meat,0
CHE,cows,grassland,meat,0
CHL,cows,grassland,meat,0
CHN,cows,grassland,meat,0
CIV,cows,grassland,meat,0
CMR,cows,grassland,meat,0
COD,cows,grassland,meat,0
COG,cows,grassland,meat,0
COK,cows,grassland,meat,0
COL,cows,grassland,meat,0
COM,cows,grassland,meat,0
CPV,cows,grassland,meat,0
CRI,cows,grassland,meat,0
CUB,cows,grassland,meat,0
CUW,cows,grassland,meat,0
CXR,cows,grassland,meat,0
CYM,cows,grassland,meat,0
CYP,cows,grassland,meat,0
CZE,cows,grassland,meat,0
DEU,cows,grassland,meat,0
DJI,cows,grassland,meat,0
DMA,cows,grassland,meat,0
DNK,cows,grassland,meat,0
DOM,cows,grassland,meat,0
DZA,cows,grassland,meat,0
ECU,cows,grassland,meat,0
EGY,cows,grassland,meat,0
ERI,cows,grassland,meat,0
ESH,cows,grassland,meat,0
ESP,cows,grassland,meat,0
EST,cows,grassland,meat,0
ETH,cows,grassland,meat,0
FIN,cows,grassland,meat,0
FJI,cows,grassland,meat,0
FLK,cows,grassland,meat,0
FRA,cows,grassland,meat,0
FRO,cows,grassland,meat,0
FSM,cows,grassland,meat,0
GAB,cows,grassland,meat,0
GBR,cows,grassland,meat,0
GEO,cows,grassland,meat,0
GGY,cows,grassland,meat,0
GHA,cows,grassland,meat,0
GIB,cows,grassland,meat,0
GIN,cows,grassland,meat,0
GLP,cows,grassland,meat,0
GMB,cows,grassland,meat,0
GNB,cows,grassland,meat,0
GNQ,cows,grassland,meat,0
GRC,cows,grassland,meat,0
GRD,cows,grassland,meat,0
GRL,cows,grassland,meat,0
GTM,cows,grassland,meat,0
GUF,cows,grassland,meat,0
GUM,cows,grassland,meat,0
GUY,cows,grassland,meat,0
HKG,cows,grassland,meat,0
HND,cows,grassland,meat,0
HRV,cows,grassland,meat,0
HTI,cows,grassland,meat,0
HUN,cows,grassland,meat,0
IDN,cows,grassland,meat,0
IMN,cows,grassland,meat,0
IND,cows,grassland,meat,0
IOT,cows,grassland,meat,0
IRL,cows,grassland,meat,0
IRN,cows,grassland,meat,0
IRQ,cows,grassland,meat,0
ISL,cows,grassland,meat,0
ISR,cows,grassland,meat,0
ITA,cows,grassland,meat,0
JAM,cows,grassland,meat,0
JEY,cows,grassland,meat,0
JOR,cows,grassland,meat,0
JPN,cows,grassland,meat,0
KAZ,cows,grassland,meat,0
KEN,cows,grassland,meat,0
KGZ,cows,grassland,meat,0
KHM,cows,grassland,meat,0
KIR,cows,grassland,meat,0
KNA,cows,grassland,meat,0
KOR,cows,grassland,meat,0
KWT,cows,grassland,meat,0
LAO,cows,grassland,meat,0
LBN,cows,grassland,meat,0
LBR,cows,grassland,meat,0
LBY,cows,grassland,meat,0
LCA,cows,grassland,meat,0
LIE,cows,grassland,meat,0
LKA,cows,grassland,meat,0
LSO,cows,grassland,meat,0
LTU,cows,grassland,meat,0
LUX,cows,grassland,meat,0
LVA,cows,grassland,meat,0
MAC,cows,grassland,meat,0
MAF,cows,grassland,meat,0
MAR,cows,grassland,meat,0
MCO,cows,grassland,meat,0
MDA,cows,grassland,meat,0
MDG,cows,grassland,meat,0
MDV,cows,grassland,meat,0
MEX,cows,grassland,meat,0
MHL,cows,grassland,meat,0
MKD,cows,grassland,meat,0
MLI,cows,grassland,meat,0
MLT,cows,grassland,meat,0
MMR,cows,grassland,meat,0
MNE,cows,grassland,meat,0
MNG,cows,grassland,meat,0
MNP,cows,grassland,meat,0
MOZ,cows,grassland,meat,0
MRT,cows,grassland,meat,0
MSR,cows,grassland,meat,0
MTQ,cows,grassland,meat,0
MUS,cows,grassland,meat,0
MWI,cows,grassland,meat,0
MYS,cows,grassland,meat,0
MYT,cows,grassland,meat,0
NAM,cows,grassland,meat,0
NCL,cows,grassland,meat,0
NER,cows,grassland,meat,0
NFK,cows,grassland,meat,0
NGA,cows,grassland,meat,0
NIC,cows,grassland,meat,0
NIU,cows,grassland,meat,0
NLD,cows,grassland,meat,0
NOR,cows,grassland,meat,0
NPL,cows,grassland,meat,0
NRU,cows,grassland,meat,0
NZL,cows,grassland,meat,0
OMN,cows,grassland,meat,0
PAK,cows,grassland,meat,0
PAN,cows,grassland,meat,0
PCN,cows,grassland,meat,0
PER,cows,grassland,meat,0
PHL,cows,grassland,meat,0
PLW,cows,grassland,meat,0
PNG,cows,grassland,meat,0
POL,cows,grassland,meat,0
PRI,cows,grassland,meat,0
PRK,cows,grassland,meat,0
PRT,cows,grassland,meat,0
PRY,cows,grassland,meat,0
PSE,cows,grassland,meat,0
PYF,cows,grassland,meat,0
QAT,cows,grassland,meat,0
REU,cows,grassland,meat,0
ROU,cows,grassland,meat,0
RUS,cows,grassland,meat,0
RWA,cows,grassland,meat,0
SAU,cows,grassland,meat,0
SDN,cows,grassland,meat,0
SEN,cows,grassland,meat,0
SGP,cows,grassland,meat,0
SHN,cows,grassland,meat,0
SJM,cows,grassland,meat,0
SLB,cows,grassland,meat,0
SLE,cows,grassland,meat,0
SLV,cows,grassland,meat,0
SMR,cows,grassland,meat,0
SOM,cows,grassland,meat,0
SPM,cows,grassland,meat,0
SRB,cows,grassland,meat,0
SSD,cows,grassland,meat,0
STP,cows,grassland,meat,0
SUR,cows,grassland,meat,0
SVK,cows,grassland,meat,0
SVN,cows,grassland,meat,0
SWE,cows,grassland,meat,0
SWZ,cows,grassland,meat,0
SXM,cows,grassland,meat,0
SYC,cows,grassland,meat,0
SYR,cows,grassland,meat,0
TCA,cows,grassland,meat,0
TCD,cows,grassland,meat,0
TGO,cows,grassland,meat,0
THA,cows,grassland,meat,0
TJK,cows,grassland,meat,0
TKL,cows,grassland,meat,0
TKM,cows,grassland,meat,0
TLS,cows,grassland,meat,0
TON,cows,grassland,meat,0
TTO,cows,grassland,meat,0
TUN,cows,grassland,meat,0
TUR,cows,grassland,meat,0
TUV,cows,grassland,meat,0
TWN,cows,grassland,meat,0
TZA,cows,grassland,meat,0
UGA,cows,grassland,meat,0
UKR,cows,grassland,meat,0
URY,cows,grassland,meat,0
USA,cows,grassland,meat,0
UZB,cows,grassland,meat,0
VCT,cows,grassland,meat,0
VEN,cows,grassland,meat,0
VGB,cows,grassland,meat,0
VIR,cows,grassland,meat,0
VNM,cows,grassland,meat,0
VUT,cows,grassland,meat,0
WLF,cows,grassland,meat,0
WSM,cows,grassland,meat,0
XKO,cows,grassland,meat,0
XMI,cows,grassland,meat,0
YEM,cows,grassland,meat,0
ZAF,cows,grassland,meat,0
ZMB,cows,grassland,meat,0
ZWE,cows,grassland,meat,0
