"iso3c","category1_production","category2_production","tonnes"
"AFG","chickens_eggs","chickens_eggs&meat",20000
"AFG","chickens_meat","chickens_eggs&meat",27518
"AFG","cows_meat","cows_meat",150879.96
"AFG","cows_milk","large_ruminant_milk",1781535
"AFG","goats_meat","small_ruminant_meat",55705.09
"AFG","goats_milk","small_ruminant_milk",114579
"AFG","sheep_meat","small_ruminant_meat",134382.59
"AFG","sheep_milk","small_ruminant_milk",206763
"ALB","buffaloes_milk","large_ruminant_milk",12
"ALB","chickens_eggs","chickens_eggs&meat",51099
"ALB","chickens_meat","chickens_eggs&meat",12912
"ALB","cows_meat","cows_meat",43875.72
"ALB","cows_milk","large_ruminant_milk",982510
"ALB","goats_meat","small_ruminant_meat",12793.42
"ALB","goats_milk","small_ruminant_milk",86849
"ALB","pigs_meat","pigs_meat",12331.73
"ALB","sheep_meat","small_ruminant_meat",21672
"ALB","sheep_milk","small_ruminant_milk",86927
"DZA","chickens_eggs","chickens_eggs&meat",390000
"DZA","chickens_meat","chickens_eggs&meat",276014
"DZA","cows_meat","cows_meat",191234.69
"DZA","cows_milk","large_ruminant_milk",2666000
"DZA","goats_meat","small_ruminant_meat",22849.18
"DZA","goats_milk","small_ruminant_milk",399830
"DZA","pigs_meat","pigs_meat",125.56
"DZA","sheep_meat","small_ruminant_meat",366250.92
"DZA","sheep_milk","small_ruminant_milk",515828
"ASM","chickens_eggs","chickens_eggs&meat",35
"ASM","chickens_meat","chickens_eggs&meat",25
"ASM","cows_meat","cows_meat",4.63
"ASM","cows_milk","large_ruminant_milk",33
"ASM","pigs_meat","pigs_meat",334.09
"AGO","chickens_eggs","chickens_eggs&meat",5250
"AGO","chickens_meat","chickens_eggs&meat",26871
"AGO","cows_meat","cows_meat",121265.32
"AGO","cows_milk","large_ruminant_milk",215953
"AGO","goats_meat","small_ruminant_meat",22639.74
"AGO","pigs_meat","pigs_meat",101674.94
"AGO","sheep_meat","small_ruminant_meat",4853.36
"ATG","chickens_eggs","chickens_eggs&meat",280
"ATG","chickens_meat","chickens_eggs&meat",96
"ATG","cows_meat","cows_meat",167.76
"ATG","cows_milk","large_ruminant_milk",3100
"ATG","goats_meat","small_ruminant_meat",16.76
"ATG","pigs_meat","pigs_meat",92.43
"ATG","sheep_meat","small_ruminant_meat",14.11
"ARG","chickens_eggs","chickens_eggs&meat",813000
"ARG","chickens_meat","chickens_eggs&meat",2116000
"ARG","cows_meat","cows_meat",3325744.68
"ARG","cows_milk","large_ruminant_milk",10097500
"ARG","goats_meat","small_ruminant_meat",8235.74
"ARG","pigs_meat","pigs_meat",617169.16
"ARG","sheep_meat","small_ruminant_meat",57536.96
"ARM","chickens_eggs","chickens_eggs&meat",34150
"ARM","chickens_meat","chickens_eggs&meat",10600
"ARM","cows_meat","cows_meat",84158.49
"ARM","cows_milk","large_ruminant_milk",693800
"ARM","goats_meat","small_ruminant_meat",54.38
"ARM","goats_milk","small_ruminant_milk",4300
"ARM","pigs_meat","pigs_meat",19221.05
"ARM","sheep_meat","small_ruminant_meat",13444.44
"ARM","sheep_milk","small_ruminant_milk",60100
"AUS","chickens_eggs","chickens_eggs&meat",247579
"AUS","chickens_meat","chickens_eggs&meat",1229505
"AUS","cows_meat","cows_meat",2335309.38
"AUS","cows_milk","large_ruminant_milk",9331500
"AUS","goats_meat","small_ruminant_meat",35665.38
"AUS","pigs_meat","pigs_meat",430612.14
"AUS","sheep_meat","small_ruminant_meat",755313.31
"AUT","chickens_eggs","chickens_eggs&meat",124728
"AUT","chickens_meat","chickens_eggs&meat",127200
"AUT","cows_meat","cows_meat",237559.9
"AUT","cows_milk","large_ruminant_milk",3712727
"AUT","goats_meat","small_ruminant_meat",630.38
"AUT","goats_milk","small_ruminant_milk",23075
"AUT","pigs_meat","pigs_meat",526699.34
"AUT","sheep_meat","small_ruminant_meat",6957.41
"AUT","sheep_milk","small_ruminant_milk",11982
"AZE","chickens_eggs","chickens_eggs&meat",102842
"AZE","chickens_meat","chickens_eggs&meat",104362
"AZE","cows_meat","cows_meat",171856.03
"AZE","cows_milk","large_ruminant_milk",1985063
"AZE","goats_milk","small_ruminant_milk",6125
"AZE","pigs_meat","pigs_meat",504.55
"AZE","sheep_meat","small_ruminant_meat",88010.89
"AZE","sheep_milk","small_ruminant_milk",32955
"BHS","chickens_eggs","chickens_eggs&meat",818
"BHS","chickens_meat","chickens_eggs&meat",7029
"BHS","cows_meat","cows_meat",20.31
"BHS","cows_milk","large_ruminant_milk",675
"BHS","goats_meat","small_ruminant_meat",91.58
"BHS","goats_milk","small_ruminant_milk",2116
"BHS","pigs_meat","pigs_meat",349.64
"BHS","sheep_meat","small_ruminant_meat",35.9
"BHR","chickens_eggs","chickens_eggs&meat",2841
"BHR","chickens_meat","chickens_eggs&meat",6841
"BHR","cows_meat","cows_meat",1225.28
"BHR","cows_milk","large_ruminant_milk",13620
"BHR","goats_meat","small_ruminant_meat",206.4
"BHR","goats_milk","small_ruminant_milk",274
"BHR","sheep_meat","small_ruminant_meat",18985.93
"BHR","sheep_milk","small_ruminant_milk",137
"BGD","buffaloes_milk","large_ruminant_milk",35562
"BGD","chickens_eggs","chickens_eggs&meat",491000
"BGD","chickens_meat","chickens_eggs&meat",194428
"BGD","cows_meat","cows_meat",237085.18
"BGD","cows_milk","large_ruminant_milk",827372
"BGD","goats_meat","small_ruminant_meat",284438.57
"BGD","goats_milk","small_ruminant_milk",1114318
"BGD","sheep_meat","small_ruminant_meat",5601.2
"BGD","sheep_milk","small_ruminant_milk",28169
"BRB","chickens_eggs","chickens_eggs&meat",3367
"BRB","chickens_meat","chickens_eggs&meat",15805
"BRB","cows_meat","cows_meat",182.57
"BRB","cows_milk","large_ruminant_milk",4862
"BRB","goats_meat","small_ruminant_meat",37.68
"BRB","pigs_meat","pigs_meat",2599.3
"BRB","sheep_meat","small_ruminant_meat",118.91
"BLR","chickens_eggs","chickens_eggs&meat",199315
"BLR","chickens_meat","chickens_eggs&meat",460000
"BLR","cows_meat","cows_meat",372966.67
"BLR","cows_milk","large_ruminant_milk",7304000
"BLR","goats_milk","small_ruminant_milk",16800
"BLR","pigs_meat","pigs_meat",427992.63
"BLR","sheep_meat","small_ruminant_meat",1540
"BEL","chickens_eggs","chickens_eggs&meat",138320
"BEL","chickens_meat","chickens_eggs&meat",455364
"BEL","cows_meat","cows_meat",306561.42
"BEL","cows_milk","large_ruminant_milk",4025417
"BEL","goats_meat","small_ruminant_meat",338.82
"BEL","goats_milk","small_ruminant_milk",32865
"BEL","pigs_meat","pigs_meat",1111994.68
"BEL","sheep_meat","small_ruminant_meat",3115.2
"BLZ","chickens_eggs","chickens_eggs&meat",2884
"BLZ","chickens_meat","chickens_eggs&meat",19646
"BLZ","cows_meat","cows_meat",1664.59
"BLZ","cows_milk","large_ruminant_milk",4785
"BLZ","goats_meat","small_ruminant_meat",1.16
"BLZ","pigs_meat","pigs_meat",1880.79
"BLZ","sheep_meat","small_ruminant_meat",51.03
"BEN","chickens_eggs","chickens_eggs&meat",15125
"BEN","chickens_meat","chickens_eggs&meat",14109
"BEN","cows_meat","cows_meat",48960
"BEN","cows_milk","large_ruminant_milk",118903
"BEN","goats_meat","small_ruminant_meat",7234.87
"BEN","goats_milk","small_ruminant_milk",26892
"BEN","pigs_meat","pigs_meat",6942.84
"BEN","sheep_meat","small_ruminant_meat",4106.38
"BMU","chickens_eggs","chickens_eggs&meat",360
"BMU","chickens_meat","chickens_eggs&meat",119
"BMU","cows_meat","cows_meat",34.8
"BMU","cows_milk","large_ruminant_milk",1415
"BMU","goats_meat","small_ruminant_meat",2.47
"BMU","pigs_meat","pigs_meat",76.21
"BTN","buffaloes_milk","large_ruminant_milk",290
"BTN","chickens_eggs","chickens_eggs&meat",5400
"BTN","chickens_meat","chickens_eggs&meat",1571
"BTN","cows_meat","cows_meat",6056.44
"BTN","cows_milk","large_ruminant_milk",190456
"BTN","goats_meat","small_ruminant_meat",207.78
"BTN","pigs_meat","pigs_meat",1109.68
"BTN","sheep_meat","small_ruminant_meat",80.65
"BOL","chickens_eggs","chickens_eggs&meat",115000
"BOL","chickens_meat","chickens_eggs&meat",504093
"BOL","cows_meat","cows_meat",299520
"BOL","cows_milk","large_ruminant_milk",543508
"BOL","goats_meat","small_ruminant_meat",8936.17
"BOL","goats_milk","small_ruminant_milk",29532
"BOL","pigs_meat","pigs_meat",109585.29
"BOL","sheep_meat","small_ruminant_meat",28844.44
"BOL","sheep_milk","small_ruminant_milk",35000
"BIH","chickens_eggs","chickens_eggs&meat",22180
"BIH","chickens_meat","chickens_eggs&meat",60970
"BIH","cows_meat","cows_meat",18377.17
"BIH","cows_milk","large_ruminant_milk",679714
"BIH","pigs_meat","pigs_meat",9832.18
"BIH","sheep_meat","small_ruminant_meat",1780.46
"BIH","sheep_milk","small_ruminant_milk",16611
