"iso3c","country","origin","cum_pressure_prop_final","cum_pressure_percent_final"
"CAF","Central African Republic","freshwater",0.00726027405778739,0.73
"CAF","Central African Republic","land",0.992739725942213,99.27
"CAF","Central African Republic","marine",0,0
"CAN","Canada","freshwater",0.0109974711210992,1.1
"CAN","Canada","land",0.919528866102477,91.95
"CAN","Canada","marine",0.0694736627764241,6.95
"CCK","Cocos Islands","freshwater",0,0
"CCK","Cocos Islands","land",0,0
"CCK","Cocos Islands","marine",1,100
"CHE","Switzerland","freshwater",0.00164230640700778,0.16
"CHE","Switzerland","land",0.998357693592992,99.84
"CHE","Switzerland","marine",0,0
"CHL","Chile","freshwater",0.00192615092932484,0.19
"CHL","Chile","land",0.613505638432996,61.35
"CHL","Chile","marine",0.384568210637679,38.46
"CHN","China","freshwater",0.000697307871681876,0.07
"CHN","China","land",0.902670510441333,90.27
"CHN","China","marine",0.0966321816869849,9.66
"CIV","Côte d'Ivoire","freshwater",0.0011830536426292,0.12
"CIV","Côte d'Ivoire","land",0.925372150059589,92.54
"CIV","Côte d'Ivoire","marine",0.0734447962977817,7.34
"CMR","Cameroon","freshwater",0.00196475877617788,0.2
"CMR","Cameroon","land",0.919323064451989,91.93
"CMR","Cameroon","marine",0.078712176771833,7.87
"COD","Democratic Republic of the Congo","freshwater",0.0183226303675497,1.83
"COD","Democratic Republic of the Congo","land",0.973717592483194,97.37
"COD","Democratic Republic of the Congo","marine",0.00795977714925646,0.8
"COG","Republic of Congo","freshwater",0.0300286646585216,3
"COG","Republic of Congo","land",0.687644151536504,68.76
"COG","Republic of Congo","marine",0.282327183804975,28.23
"COK","Cook Islands","freshwater",0,0
"COK","Cook Islands","land",0.261730373481826,26.17
"COK","Cook Islands","marine",0.738269626518174,73.83
"COL","Colombia","freshwater",0.00535882622639686,0.54
"COL","Colombia","land",0.989605435714143,98.96
"COL","Colombia","marine",0.00503573805946067,0.5
"COM","Comoros","freshwater",0.000928671781193385,0.09
"COM","Comoros","land",0.284746314325209,28.47
"COM","Comoros","marine",0.714325013893597,71.43
"CPV","Cape Verde","freshwater",0,0
"CPV","Cape Verde","land",0.704604516921355,70.46
"CPV","Cape Verde","marine",0.295395483078645,29.54
"CRI","Costa Rica","freshwater",0.0015730406474979,0.16
"CRI","Costa Rica","land",0.961664911073444,96.17
"CRI","Costa Rica","marine",0.0367620482790582,3.68
"CUB","Cuba","freshwater",0.000653337720986707,0.07
"CUB","Cuba","land",0.979089762849983,97.91
