"iso3c","system","origin","cum_pressure_prop_rescaled","total_cum_prop","cum_pressure_prop_final","percent_final"
"ABW","aquaculture","land",0,7.48796014221333e-06,0,0
"ABW","aquaculture","marine",1.00521425497226e-07,7.48796014221333e-06,0.0134244071266535,1.3
"ABW","backyard","land",0,7.48796014221333e-06,0,0
"ABW","backyard","marine",2.12507487907645e-10,7.48796014221333e-06,2.83798903668885e-05,0
"ABW","crop","land",0,7.48796014221333e-06,0,0
"ABW","feedlot","land",0,7.48796014221333e-06,0,0
"ABW","fisheries","freshwater",2.51558387826307e-09,7.48796014221333e-06,0.000335950489918006,0
"ABW","fisheries","marine",7.08590288641828e-06,7.48796014221333e-06,0.9463061704177,94.6
"ABW","grassland","land",5.92134467228223e-08,7.48796014221333e-06,0.00790782076803626,0.8
"ABW","industrial","land",0,7.48796014221333e-06,0,0
"ABW","industrial","marine",4.36703296318794e-08,7.48796014221333e-06,0.00583207292807131,0.6
"ABW","intermediate","land",0,7.48796014221333e-06,0,0
"ABW","intermediate","marine",4.01418799765086e-09,7.48796014221333e-06,0.000536085652355559,0.1
"ABW","mixed","land",1.91909774579307e-07,7.48796014221333e-06,0.0256291127268983,2.6
"AFG","aquaculture","land",2.26793596836182e-06,0.0115525340256797,0.000196315021736401,0
"AFG","aquaculture","marine",0,0.0115525340256797,0,0
"AFG","backyard","land",0.000146187304875085,0.0115525340256797,0.0126541332447176,1.3
"AFG","backyard","marine",0,0.0115525340256797,0,0
"AFG","crop","land",0.00755057504845174,0.0115525340256797,0.653586047153625,65.4
"AFG","feedlot","land",5.14043962997936e-08,0.0115525340256797,4.44962085249252e-06,0
"AFG","fisheries","freshwater",2.29091838030075e-05,0.0115525340256797,0.00198304404488951,0.2
"AFG","fisheries","marine",0,0.0115525340256797,0,0
"AFG","grassland","land",0.00140973523541638,0.0115525340256797,0.122028226212772,12.2
"AFG","industrial","land",6.57965792971192e-05,0.0115525340256797,0.00569542397805213,0.6
"AFG","industrial","marine",0,0.0115525340256797,0,0
"AFG","intermediate","land",2.72717425473261e-06,0.0115525340256797,0.000236067190857908,0
"AFG","intermediate","marine",0,0.0115525340256797,0,0
"AFG","mixed","land",0.00235228415921696,0.0115525340256797,0.203616293532498,20.4
"AGO","aquaculture","land",4.46472265136871e-07,0.0101043853619919,4.41859894631785e-05,0
"AGO","aquaculture","marine",6.09180548907318e-05,0.0101043853619919,0.00602887288126179,0.6
