"","year","region","delivered_for_sale_count","loss_count","stock_dec_31_count","Stock_Jan1_count","supplies_count","salmon_tonnes","salmon_kg","avg_harvest_wgt_kg","mortality_rate"
"1",2010,"Finnmark",10176000,4153000,22507000,19732000,17104000,51249,51249000,5.03626179245283,0.210470302047436
"2",2010,"Hordaland",30259000,6794000,48131000,48986000,36198000,136972,136972000,4.52665322713903,0.138692687706692
"3",2010,"Møre og Romsdal",22707000,4618000,36609000,35814000,28120000,111683,111683000,4.91843924780905,0.128943988384431
"4",2010,"Nordland",36005000,6904000,61559000,55652000,48815000,191316,191316000,5.31359533398139,0.124056637676993
"5",2010,"Other Counties",2474000,580000,5365000,5140000,3279000,11596,11596000,4.68714632174616,0.11284046692607
"6",2010,"Rogaland",13984000,5455000,28705000,24934000,23209000,64336,64336000,4.60068649885584,0.218777572792171
"7",2010,"Sogn og Fjordane",16686000,1734000,29725000,26388000,21757000,78220,78220000,4.68776219585281,0.0657116871305139
"8",2010,"Troms",20453000,5861000,35376000,36057000,25635000,106679,106679000,5.21581186134063,0.162548187591868
"9",2011,"Finnmark",10600000,4251000,29695000,22507000,22039000,56178,56178000,5.29981132075472,0.188874572355267
"10",2011,"Hordaland",31970000,5423000,58229000,48402000,47220000,156419,156419000,4.89268063809822,0.112040824759307
"11",2011,"Møre og Romsdal",23499000,6804000,31485000,36347000,25442000,127120,127120000,5.40959189752755,0.187195642006218
"12",2011,"Nordland",33272000,9011000,66133000,59616000,48800000,217345,217345000,6.53236955999038,0.151150697799249
"13",2011,"Other Counties",3154000,646000,5815000,5493000,4122000,13032,13032000,4.13189600507292,0.117604223557255
"14",2011,"Rogaland",14987000,5041000,26715000,28705000,18038000,69054,69054000,4.60759324748115,0.175614004528828
"15",2011,"Sogn og Fjordane",17466000,2693000,30822000,29355000,21626000,94063,94063000,5.38549181266461,0.0917390563788111
"16",2011,"Troms",20399000,4979000,40631000,35197000,30812000,104770,104770000,5.13603608020001,0.14146091996477
"17",2012,"Finnmark",14974000,4679000,32837000,29796000,22694000,86168,86168000,5.75450781354348,0.157034501275339
"18",2012,"Hordaland",41095000,6552000,50935000,58092000,40490000,203525,203525000,4.95254897189439,0.112786614335881
"19",2012,"Møre og Romsdal",24348000,3686000,41710000,31965000,37778000,118000,1.18e+08,4.8463939543289,0.115313624276552
"20",2012,"Nordland",44155000,5084000,63242000,64670000,47811000,230144,230144000,5.21218435058317,0.0786145044069893
"21",2012,"Other Counties",2866000,2e+05,5871000,5486000,3451000,14071.3818411265,14071381.8411265,4.90976337792271,0.0364564345607
"22",2012,"Rogaland",16430000,2576000,26727000,26753000,18980000,82732,82732000,5.03542300669507,0.0962882667364408
"23",2012,"Sogn og Fjordane",19721000,2832000,30617000,30641000,22529000,98503,98503000,4.99482784848639,0.092425181945759
"24",2012,"Troms",26124000,5297000,44494000,41245000,34670000,138674,138674000,5.30829888225387,0.128427688204631
"25",2013,"Finnmark",18617000,3460000,31823000,32835000,21065000,89734,89734000,4.82000322286083,0.105375361656769
"26",2013,"Hordaland",34900000,7406000,55364000,51023000,46647000,160524,160524000,4.59954154727794,0.1451502263685
"27",2013,"Møre og Romsdal",25406000,2697000,29338000,43319000,14123000,128337,128337000,5.05144454065969,0.0622590549181652
"28",2013,"Nordland",45948000,7659000,66471000,65163000,54915000,234503,234503000,5.10366065987638,0.117536025044887
"29",2013,"Other Counties",3343505.95152732,474340.403517848,7399251.99488106,6183955.41915995,5031069.28704633,15372,15372000,4.59756920515665,0.0767050166707515
"30",2013,"Rogaland",16129000,3843000,25920000,26729000,19163000,76872,76872000,4.76607353214706,0.143776422612144
"31",2013,"Sogn og Fjordane",21088000,2132000,30337000,30627000,22931000,102132,102132000,4.84313353566009,0.069611780455154
"32",2013,"Troms",26927000,4802000,48037000,44710000,35056000,134483,134483000,4.99435510825565,0.107403265488705
"33",2014,"Finnmark",18015000,3174000,30680000,29998000,21870000,95676,95676000,5.31090757701915,0.105807053803587
"34",2014,"Hordaland",37338000,9875000,49139000,55393000,40960000,172004,172004000,4.60667416572928,0.17827162276822
"35",2014,"Møre og Romsdal",23541000,4463000,48270000,29098000,47175000,123476,123476000,5.24514676521813,0.153378239054231
"36",2014,"Nordland",44808000,7338000,71581000,65893000,57834000,233568,233568000,5.21264059989288,0.111362360190005
"37",2014,"Other Counties",4972000,422000,6040000,6932000,4502000,16443,16443000,3.30711987127916,0.0608770917484132
