"region","species","variable","units","year","value","gapfilled"
"Rogaland","Salmon","Stock_Jan1_count","1000x","2010",24934,NA
"Rogaland","Rainbow trout","Stock_Jan1_count","1000x","2010",25,NA
"Rogaland","Other fish species","Stock_Jan1_count","1000x","2010",977,NA
"Hordaland","Salmon","Stock_Jan1_count","1000x","2010",48986,NA
"Hordaland","Rainbow trout","Stock_Jan1_count","1000x","2010",10477,NA
"Hordaland","Other fish species","Stock_Jan1_count","1000x","2010",450,NA
"Sogn og Fjordane","Salmon","Stock_Jan1_count","1000x","2010",26388,NA
"Sogn og Fjordane","Rainbow trout","Stock_Jan1_count","1000x","2010",3516,NA
"Sogn og Fjordane","Other fish species","Stock_Jan1_count","1000x","2010",1807,NA
"Møre og Romsdal","Salmon","Stock_Jan1_count","1000x","2010",35814,NA
"Møre og Romsdal","Rainbow trout","Stock_Jan1_count","1000x","2010",3372,NA
"Møre og Romsdal","Other fish species","Stock_Jan1_count","1000x","2010",4412,NA
"Trøndelag","Salmon","Stock_Jan1_count","1000x","2010",0,NA
"Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2010",0,NA
"Trøndelag","Other fish species","Stock_Jan1_count","1000x","2010",0,NA
"Sør-Trøndelag","Salmon","Stock_Jan1_count","1000x","2010",39625,NA
"Sør-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2010",75,NA
"Sør-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2010",721,NA
"Nord-Trøndelag","Salmon","Stock_Jan1_count","1000x","2010",23713,NA
"Nord-Trøndelag","Rainbow trout","Stock_Jan1_count","1000x","2010",0,NA
"Nord-Trøndelag","Other fish species","Stock_Jan1_count","1000x","2010",1591,NA
"Nordland","Salmon","Stock_Jan1_count","1000x","2010",55652,NA
"Nordland","Rainbow trout","Stock_Jan1_count","1000x","2010",818,NA
"Nordland","Other fish species","Stock_Jan1_count","1000x","2010",9456,NA
"Troms","Salmon","Stock_Jan1_count","1000x","2010",36057,NA
"Troms","Rainbow trout","Stock_Jan1_count","1000x","2010",815,NA
"Troms","Other fish species","Stock_Jan1_count","1000x","2010",449,NA
"Finnmark","Salmon","Stock_Jan1_count","1000x","2010",19732,NA
"Finnmark","Rainbow trout","Stock_Jan1_count","1000x","2010",2039,NA
"Finnmark","Other fish species","Stock_Jan1_count","1000x","2010",531,NA
"Other Counties","Salmon","Stock_Jan1_count","1000x","2010",5140,NA
"Other Counties","Rainbow trout","Stock_Jan1_count","1000x","2010",23,NA
"Other Counties","Other fish species","Stock_Jan1_count","1000x","2010",305,NA
"Rogaland","Salmon","supplies_count","1000x","2010",23209,NA
"Rogaland","Rainbow trout","supplies_count","1000x","2010",41,NA
