ISO3,ID_0,Country,developed,fraction_burned
AFG,1,Afghanistan,no,0.25
CYP,61,Cyprus,yes,0.1
ALA,3,Åland,yes,0.1
ALB,4,Albania,yes,0.1
DZA,5,Algeria,yes,0.1
ASM,6,American Samoa,yes,0.1
AND,7,Andorra,yes,0.1
AGO,8,Angola,no,0.25
AIA,9,Anguilla,yes,0.1
ATG,11,Antigua and Barbuda,yes,0.1
ARG,12,Argentina,yes,0.1
ARM,13,Armenia,no,0.25
ABW,14,Aruba,yes,0.1
AUS,15,Australia,yes,0.1
AUT,16,Austria,yes,0.1
AZE,17,Azerbaijan,yes,0.1
BHS,18,Bahamas,yes,0.1
BHR,19,Bahrain,yes,0.1
BGD,20,Bangladesh,no,0.25
BRB,21,Barbados,yes,0.1
BLR,22,Belarus,yes,0.1
BEL,23,Belgium,yes,0.1
BLZ,24,Belize,yes,0.1
BEN,25,Benin,no,0.25
BMU,26,Bermuda,yes,0.1
BTN,27,Bhutan,no,0.25
BOL,28,Bolivia,no,0.25
BES,29,"Bonaire, Sint Eustatius and Saba",yes,0.1
BIH,30,Bosnia and Herzegovina,yes,0.1
BWA,31,Botswana,yes,0.1
BRA,33,Brazil,yes,0.1
IOT,34,British Indian Ocean Territory,yes,0.1
VGB,35,British Virgin Islands,yes,0.1
BRN,36,Brunei,yes,0.1
BGR,37,Bulgaria,yes,0.1
BFA,38,Burkina Faso,no,0.25
BDI,39,Burundi,no,0.25
KHM,40,Cambodia,no,0.25
CMR,41,Cameroon,no,0.25
CAN,42,Canada,yes,0.1
CPV,43,Cape Verde,no,0.25
CYM,45,Cayman Islands,yes,0.1
CAF,46,Central African Republic,no,0.25
TCD,47,Chad,no,0.25
CHL,48,Chile,yes,0.1
CHN,49,China,yes,0.1
CXR,50,Christmas Island,yes,0.1
CCK,52,Cocos Islands,yes,0.1
COL,53,Colombia,yes,0.1
COM,54,Comoros,no,0.25
COK,55,Cook Islands,yes,0.1
CRI,56,Costa Rica,yes,0.1
CIV,57,Côte d'Ivoire,no,0.25
HRV,58,Croatia,yes,0.1
CUB,59,Cuba,yes,0.1
CUW,60,Curaçao,yes,0.1
CZE,62,Czech Republic,yes,0.1
COD,301,Democratic Republic of the Congo,no,0.25
DNK,64,Denmark,yes,0.1
DJI,65,Djibouti,no,0.25
DOM,67,Dominican Republic,yes,0.1
DMA,66,Dominica,yes,0.1
ECU,68,Ecuador,yes,0.1
EGY,69,Egypt,no,0.25
SLV,70,El Salvador,no,0.25
GNQ,71,Equatorial Guinea,yes,0.1
ERI,72,Eritrea,no,0.25
EST,73,Estonia,yes,0.1
ETH,74,Ethiopia,no,0.25
