product,SPAM_short_name,SPAM_full_name,ratio_res_prod,dm_min,dm_max,dm ,frac_ox,carb_frac,n_c_ratio
wheat,whea,wheat,1.3,0.78,0.88,0.83,0.9,0.4853,0.012
barley,barl,barley,1.2,0.78,0.88,0.83,0.9,0.4567,
maize,maiz,maize,1,0.3,0.5,0.4,0.9,0.4709,0.02
oats,ocer,other cereals,1.3,,,,0.9,,
rye,ocer,other cereals,1.6,,,,0.9,,
rice,rice,rice,1.4,0.78,0.88,0.83,0.9,0.4144,0.014
millet,pmil,pearl millet,1.4,,,,0.9,,0.016
millet,smil,small millet,1.4,,,,0.9,,0.016
sorghum,sorg,sorghum,1.4,,,,0.9,,0.02
pea,opul,other pulses,1.5,,,,0.9,,
bean,bean,bean,2.1,,,,0.9,,
soya,soyb,soybean,2.1,,,,0.9,,0.05
potatoes,pota,potato,0.4,0.3,0.6,0.45,0.9,0.4226,
feedbeet,vege,vegetables,0.3,0.1,0.2,0.15,0.9,0.4072,
sugarbeet,sugb,sugarbeet,0.2,0.1,0.2,0.15,0.9,0.4072,
jerusalem artichoke,vege,vegetables,0.8,,,,0.9,,
peanut,grou,groundnut,1,,,,0.9,,
average_ocer,ocer,other cereals,1.45,,,,0.9,,
average_vege,vege,vegetables,0.55,0.1,0.2,0.15,0.9,,
