iso3c,nutrient,nutrient_CO2eq
DZA,N,5.66
EGY,N,5.66
LBY,N,5.66
MAR,N,5.66
SDN,N,5.66
TUN,N,5.66
ESH,N,5.66
IOT,N,5.66
BDI,N,5.66
COM,N,5.66
DJI,N,5.66
ERI,N,5.66
ETH,N,5.66
KEN,N,5.66
MDG,N,5.66
MWI,N,5.66
MUS,N,5.66
MYT,N,5.66
MOZ,N,5.66
REU,N,5.66
RWA,N,5.66
SYC,N,5.66
SOM,N,5.66
SSD,N,5.66
UGA,N,5.66
TZA,N,5.66
ZMB,N,5.66
ZWE,N,5.66
AGO,N,5.66
CMR,N,5.66
CAF,N,5.66
TCD,N,5.66
COG,N,5.66
COD,N,5.66
GNQ,N,5.66
GAB,N,5.66
STP,N,5.66
BWA,N,5.66
SWZ,N,5.66
LSO,N,5.66
"NAM",N,5.66
ZAF,N,5.66
BEN,N,5.66
BFA,N,5.66
CPV,N,5.66
CIV,N,5.66
GMB,N,5.66
GHA,N,5.66
GIN,N,5.66
GNB,N,5.66
LBR,N,5.66
MLI,N,5.66
MRT,N,5.66
NER,N,5.66
NGA,N,5.66
SHN,N,5.66
SEN,N,5.66
SLE,N,5.66
TGO,N,5.66
AIA,N,5.66
ATG,N,5.66
ABW,N,5.66
BHS,N,5.66
BRB,N,5.66
BES,N,5.66
VGB,N,5.66
CYM,N,5.66
CUB,N,5.66
CUW,N,5.66
DMA,N,5.66
DOM,N,5.66
GRD,N,5.66
GLP,N,5.66
HTI,N,5.66
JAM,N,5.66
MTQ,N,5.66
MSR,N,5.66
PRI,N,5.66
BLM,N,5.66
KNA,N,5.66
LCA,N,5.66
MAF,N,5.66
VCT,N,5.66
SXM,N,5.66
TTO,N,5.66
TCA,N,5.66
VIR,N,5.66
BMU,N,5.66
CAN,N,5.66
GRL,N,5.66
SPM,N,5.66
USA,N,5.66
ALA,N,5.66
GGY,N,5.66
JEY,N,5.66
DNK,N,5.66
EST,N,5.66
FRO,N,5.66
FIN,N,5.66
ISL,N,5.66
IRL,N,5.66
IMN,N,5.66
LVA,N,5.66
LTU,N,5.66
NOR,N,5.66
SJM,N,5.66
SWE,N,5.66
GBR,N,5.66
ALB,N,5.66
AND,N,5.66
BIH,N,5.66
HRV,N,5.66
GIB,N,5.66
GRC,N,5.66
ITA,N,5.66
MLT,N,5.66
MNE,N,5.66
MKD,N,5.66
PRT,N,5.66
SMR,N,5.66
XKO,N,5.66
SRB,N,5.66
SVN,N,5.66
ESP,N,5.66
CXR,N,5.66
CCK,N,5.66
NFK,N,5.66
FJI,N,5.66
NCL,N,5.66
PNG,N,5.66
SLB,N,5.66
VUT,N,5.66
GUM,N,5.66
KIR,N,5.66
MHL,N,5.66
FSM,N,5.66
NRU,N,5.66
MNP,N,5.66
PLW,N,5.66
ASM,N,5.66
COK,N,5.66
PYF,N,5.66
NIU,N,5.66
PCN,N,5.66
WSM,N,5.66
TKL,N,5.66
TON,N,5.66
TUV,N,5.66
WLF,N,5.66
XMI,N,5.66
