iso3c,ID_0,Country,FracReMove
AFG,1,Afghanistan,0.45
CYP,61,Cyprus,0.45
ALA,3,Åland,0.45
ALB,4,Albania,0.45
DZA,5,Algeria,0.45
ASM,6,American Samoa,0.45
AND,7,Andorra,0.45
AGO,8,Angola,0.45
AIA,9,Anguilla,0.45
ATG,11,Antigua and Barbuda,0.45
ARG,12,Argentina,0.45
ARM,13,Armenia,0.45
ABW,14,Aruba,0.45
AUS,15,Australia,0.45
AUT,16,Austria,0.34
AZE,17,Azerbaijan,0.45
BHS,18,Bahamas,0.45
BHR,19,Bahrain,0.45
BGD,20,Bangladesh,0.45
BRB,21,Barbados,0.45
BLR,22,Belarus,0.45
BEL,23,Belgium,0.5
BLZ,24,Belize,0.45
BEN,25,Benin,0.45
BMU,26,Bermuda,0.45
BTN,27,Bhutan,0.45
BOL,28,Bolivia,0.45
BES,29,"Bonaire, Sint Eustatius and Saba",0.45
BIH,30,Bosnia and Herzegovina,0.45
BWA,31,Botswana,0.45
BRA,33,Brazil,0.45
IOT,34,British Indian Ocean Territory,0.45
VGB,35,British Virgin Islands,0.45
BRN,36,Brunei,0.45
BGR,37,Bulgaria,0.45
BFA,38,Burkina Faso,0.45
BDI,39,Burundi,0.45
KHM,40,Cambodia,0.45
CMR,41,Cameroon,0.45
CAN,42,Canada,0.47
CPV,43,Cape Verde,0.45
CYM,45,Cayman Islands,0.45
CAF,46,Central African Republic,0.45
TCD,47,Chad,0.45
CHL,48,Chile,0.45
CHN,49,China,0.45
CXR,50,Christmas Island,0.45
CCK,52,Cocos Islands,0.45
COL,53,Colombia,0.45
COM,54,Comoros,0.45
COK,55,Cook Islands,0.45
CRI,56,Costa Rica,0.45
CIV,57,Côte d'Ivoire,0.45
HRV,58,Croatia,0.45
CUB,59,Cuba,0.45
CUW,60,Curaçao,0.45
CZE,62,Czech Republic,0.45
COD,301,Democratic Republic of the Congo,0.45
DNK,64,Denmark,0.45
DJI,65,Djibouti,0.45
