"TABLE 3.1. List of crops, dry matter contents and parameters for the calculation of crop residues yield",,,,,,,,,,
Crop,DM (%),Slope (for crop residues),Intercept (for crop residues),,,,,,,
Grass,90,0.25,0,,,,,,,
Banana fruits,20,1,0,,,,,,,
Barley,89,0.98,590,,,,,,,
Cotton,93.5,0.93,1350,,,,,,,
Millet,90,1.43,140,,,,,,,
Maize,87,1.03,610,,,,,,,
"Other cereals (excluding wheat, rice, maize, barley, millet, sorghum)",89,0.98,590,,,,,,,
Oil palm fruit,53,0,0,,,,,,,
Pulses,91,1.13,850,,,,,,,
Rice,89,0.95,2460,,,,,,,
Rapeseed,92.3,0.28,0,,,,,,,
Cassava,33,0.1,1060,,,,,,,
Sunflower,92.3,0.95,1350,,,,,,,
Soybean,91,0.93,1350,,,,,,,
Sorghum,89,0.88,1330,,,,,,,
Sugar beet,25,0.1,1.06,,,,,,,
Sugarcane,32,0.28,0,,,,,,,
Wheat,89,1.51,520,,,,,,,
