COUNTRY,CONTINENT,REGION,FracReMove
Austria,Europe,Western Europe, 0.34 
Belgium,Europe,Western Europe, 0.50 
Canada,Americas,Northern America, 0.47 
Germany,Europe,Western Europe, 0.63 
Greece,Europe,Southern Europe, 0.52 
Liechtenstein,Europe,Western Europe, 0.73 
Norway,Europe,Northern Europe, 0.65 
Poland,Europe,Eastern Europe, 0.53 
Portugal,Europe,Southern Europe, 0.71 
Slovenia,Europe,Southern Europe, 0.47 
Sweden,Europe,Northern Europe, 0.64 
Switzerland,Europe,Western Europe, 0.72 
U.K. of Great Britain and Northern Ireland,Europe,Northern Europe, 0.52 
