iso3c,nutrient,prod_system,split_rest_names,allocated_pesticide
AFG,N,H,acof,0
AFG,N,I,acof,0
AFG,N,H,bean,0
AFG,N,I,bean,2.698056963028471
AFG,N,H,chic,0
AFG,N,I,chic,0
AFG,N,H,coco,0
AFG,N,I,coco,0
AFG,N,H,cowp,0
AFG,N,I,cowp,0
AFG,N,H,fodd,0.7011733411018459
AFG,N,I,fodd,2.025128670179583
AFG,N,H,lent,0
AFG,N,I,lent,1.9183298681741903
AFG,N,H,opul,0.08830004673750547
AFG,N,I,opul,726.5071288932359
AFG,N,H,othr,0
AFG,N,I,othr,0
AFG,N,H,pige,0
AFG,N,I,pige,0
AFG,N,H,rcof,0
AFG,N,I,rcof,0
AFG,N,H,spis,0
AFG,N,I,spis,3847.715752255171
AFG,N,H,teas,0
AFG,N,I,teas,0
AFG,N,H,tnut,0
AFG,N,I,tnut,7523.17198334249
AFG,N,H,toba,0
AFG,N,I,toba,0.37867891025605693
CYP,N,H,acof,0
CYP,N,I,acof,0
CYP,N,H,bean,0
CYP,N,I,bean,174.5557847468621
CYP,N,H,chic,0
CYP,N,I,chic,0
CYP,N,H,coco,0
CYP,N,I,coco,0
CYP,N,H,cowp,0
CYP,N,I,cowp,0.6540511195224834
CYP,N,H,fodd,2222.0460249240905
CYP,N,I,fodd,4005.8455821830717
CYP,N,H,lent,0
CYP,N,I,lent,4.646142178591357
CYP,N,H,opul,0
CYP,N,I,opul,106.3878557911995
CYP,N,H,othr,0
CYP,N,I,othr,0
CYP,N,H,pige,0
CYP,N,I,pige,0
CYP,N,H,rcof,0
CYP,N,I,rcof,0
CYP,N,H,spis,0
CYP,N,I,spis,0
CYP,N,H,teas,0
CYP,N,I,teas,0
CYP,N,H,tnut,0
CYP,N,I,tnut,3579.0051982214304
CYP,N,H,toba,0
CYP,N,I,toba,5.70851511845744
ALA,N,H,acof,0
ALA,N,I,acof,0
ALA,N,H,bean,0
ALA,N,I,bean,0
ALA,N,H,chic,0
ALA,N,I,chic,0
ALA,N,H,coco,0
ALA,N,I,coco,0
ALA,N,H,cowp,0
ALA,N,I,cowp,0
ALA,N,H,fodd,21.60122948660872
ALA,N,I,fodd,0.9482049878128412
ALA,N,H,lent,0
ALA,N,I,lent,0
ALA,N,H,opul,0.2585530059725652
ALA,N,I,opul,0
ALA,N,H,othr,0
ALA,N,I,othr,0
ALA,N,H,pige,0
ALA,N,I,pige,0
ALA,N,H,rcof,0
ALA,N,I,rcof,0
ALA,N,H,spis,0
ALA,N,I,spis,0
ALA,N,H,teas,0
ALA,N,I,teas,0
ALA,N,H,tnut,0
ALA,N,I,tnut,0
ALA,N,H,toba,0
ALA,N,I,toba,0
ALB,N,H,acof,0
ALB,N,I,acof,0
ALB,N,H,bean,54.09856710807736
ALB,N,I,bean,1009.1616610189998
ALB,N,H,chic,0
ALB,N,I,chic,0
ALB,N,H,coco,0
ALB,N,I,coco,0
ALB,N,H,cowp,0.0014582740482577841
ALB,N,I,cowp,1.3888325106785291e-4
ALB,N,H,fodd,877.5810792464013
ALB,N,I,fodd,2413.152363471371
ALB,N,H,lent,0
ALB,N,I,lent,0.012499492596106762
ALB,N,H,opul,19.479729755169963
ALB,N,I,opul,356.94972066664434
ALB,N,H,othr,0.040135287583833446
ALB,N,I,othr,316.71202980572235
ALB,N,H,pige,0
ALB,N,I,pige,0
ALB,N,H,rcof,0
ALB,N,I,rcof,0
ALB,N,H,spis,0.005763885339859797
ALB,N,I,spis,45.48346266760116
ALB,N,H,teas,4.406487899317144
ALB,N,I,teas,0
ALB,N,H,tnut,0.23441284658567138
ALB,N,I,tnut,1849.7778688724895
ALB,N,H,toba,0
ALB,N,I,toba,49.38132781902173
DZA,N,H,acof,0
DZA,N,I,acof,0
DZA,N,H,bean,0
DZA,N,I,bean,0
DZA,N,H,chic,0.536427736224848
DZA,N,I,chic,0
DZA,N,H,coco,0
DZA,N,I,coco,0
DZA,N,H,cowp,0
DZA,N,I,cowp,0
DZA,N,H,fodd,2976.148227959759
DZA,N,I,fodd,0
DZA,N,H,lent,0.46812259408598866
DZA,N,I,lent,0
DZA,N,H,opul,0.6977534203196426
DZA,N,I,opul,0.019072987045301835
DZA,N,H,othr,0
DZA,N,I,othr,0
DZA,N,H,pige,0
DZA,N,I,pige,0
DZA,N,H,rcof,0
DZA,N,I,rcof,0
DZA,N,H,spis,1042.1759323333724
DZA,N,I,spis,4970.054357755965
DZA,N,H,teas,0
DZA,N,I,teas,0
DZA,N,H,tnut,1229.449981543635
DZA,N,I,tnut,5863.149459551235
DZA,N,H,toba,113.33396923337065
DZA,N,I,toba,323.9086444320634
ASM,N,H,acof,0
ASM,N,I,acof,0
ASM,N,H,bean,0
ASM,N,I,bean,0
ASM,N,H,chic,0
ASM,N,I,chic,0
ASM,N,H,coco,0
ASM,N,I,coco,0
ASM,N,H,cowp,0
ASM,N,I,cowp,0
ASM,N,H,fodd,0
ASM,N,I,fodd,0
ASM,N,H,lent,0
ASM,N,I,lent,0
ASM,N,H,opul,0
ASM,N,I,opul,0
ASM,N,H,othr,0
ASM,N,I,othr,0
ASM,N,H,pige,0
ASM,N,I,pige,0
ASM,N,H,rcof,0
ASM,N,I,rcof,0
ASM,N,H,spis,0
ASM,N,I,spis,0
ASM,N,H,teas,0
ASM,N,I,teas,0
ASM,N,H,tnut,0
ASM,N,I,tnut,0
ASM,N,H,toba,0
ASM,N,I,toba,0
AND,N,H,acof,0
AND,N,I,acof,0
AND,N,H,bean,0
AND,N,I,bean,0
AND,N,H,chic,0
AND,N,I,chic,0
AND,N,H,coco,0
AND,N,I,coco,0
AND,N,H,cowp,0
AND,N,I,cowp,0
AND,N,H,fodd,0
AND,N,I,fodd,0
AND,N,H,lent,0
AND,N,I,lent,0
AND,N,H,opul,0
AND,N,I,opul,0
AND,N,H,othr,0
AND,N,I,othr,0
AND,N,H,pige,0
AND,N,I,pige,0
AND,N,H,rcof,0
AND,N,I,rcof,0
AND,N,H,spis,0
AND,N,I,spis,0
AND,N,H,teas,0
AND,N,I,teas,0
AND,N,H,tnut,0
AND,N,I,tnut,0
AND,N,H,toba,0
AND,N,I,toba,0
AGO,N,H,acof,9.869162078676203e-4
AGO,N,I,acof,0
AGO,N,H,bean,0.020224444292945523
AGO,N,I,bean,8.875744590181782
AGO,N,H,chic,0
AGO,N,I,chic,0
AGO,N,H,coco,0.006302531846853051
AGO,N,I,coco,0
AGO,N,H,cowp,6.237016681029989e-4
AGO,N,I,cowp,0
AGO,N,H,fodd,0
