Region,N,P2O5,K2O,Lime
Global Average,5.66,1.36,1.36,0.074
W. Europe,5.62,1.47,1.45,
E.Europe inclu Russian federation,6.87,1.57,0.61,
Central & S.America,3.53,0.54,1.02,
Asia,4,1.29,1.47,
Australia,6.92,1.66,1.63,
New Zealand,3.06,1.14,0.74,
