Country;Production;N_in;P_in;N_fish;P_fish;N_out;P_out;N_recycled;P_recycled;DN;DP;DN_removal;DP_removal;PN;PP;sediment_N;sediment_P;PN_removal;PP_removal
AUS;48330.56;3977.303022;625.0047606;1285.592896;183.656128;2691.710126;441.3486326;0;0;1771.958802;199.1592879;0;0;919.7513238;242.1893447;0;0;0;0
CAN;141874;11675.34349;1834.696834;3773.8484;539.1212;7901.495088;1295.575634;0;0;5201.571906;584.6306107;0;0;2699.923181;710.9450231;0;0;0;0
CHL;735123;60496.02838;9506.518746;19554.2718;2793.4674;40941.75658;6713.051346;0;0;26952.05002;3029.275332;0;0;13989.70656;3683.776014;0;0;0;0
FRO;80600;6632.87625;1042.309125;2143.96;306.28;4488.91625;736.029125;0;0;2955.063617;332.1343391;0;0;1533.852633;403.8947859;0;0;0;0
GBR;172137.27;14165.82146;2226.057658;4578.851382;654.121626;9586.970081;1571.936032;0;0;6311.123868;709.3386898;0;0;3275.846213;862.5973427;0;0;0;0
NOR;1303345.8;107257.2134;16854.70497;34668.99828;4952.71404;72588.21515;11901.99093;0;0;47784.98454;5370.792753;0;0;24803.23061;6531.198175;0;0;0;0
