iso3c,country,animal,system_1,system_2,product,tonnes_per_head,gapfilled,gf_int,gf_int_prod
AFG,Afghanistan,buffalo,dairy,All systems,milk,0,NA,0.026751384715909873,0
AFG,Afghanistan,buffalo,dairy,All systems,meat,0,NA,0.026751384715909873,0.026751384715909873
AFG,Afghanistan,buffalo,non-dairy,All systems,milk,0,NA,0.026751384715909873,0
AFG,Afghanistan,buffalo,non-dairy,All systems,meat,0.026751384715909873,NA,0.026751384715909873,0.026751384715909873
AFG,Afghanistan,cows,dairy,All systems,milk,0.12239873699139668,NA,0.14572621095683536,0.12239873699139668
AFG,Afghanistan,cows,dairy,All systems,meat,0.023327473965438682,NA,0.14572621095683536,0.023327473965438682
AFG,Afghanistan,cows,non-dairy,All systems,milk,0,NA,0.14572621095683536,0.12239873699139668
AFG,Afghanistan,cows,non-dairy,All systems,meat,0,NA,0.14572621095683536,0.023327473965438682
AFG,Afghanistan,goats,dairy,All systems,milk,0.02091866119853819,NA,0.03318790361067296,0.02091866119853819
AFG,Afghanistan,goats,dairy,All systems,meat,0.006134622262983085,NA,0.03318790361067296,0.012269242412134769
AFG,Afghanistan,goats,non-dairy,All systems,milk,0,NA,0.03318790361067296,0.02091866119853819
AFG,Afghanistan,goats,non-dairy,All systems,meat,0.0061346201491516835,NA,0.03318790361067296,0.012269242412134769
AFG,Afghanistan,sheep,dairy,All systems,milk,0.015719877989538302,NA,0.025739842555350567,0.015719877989538302
AFG,Afghanistan,sheep,dairy,All systems,meat,0.00500999336749993,NA,0.025739842555350567,0.010019964565812264
AFG,Afghanistan,sheep,non-dairy,All systems,milk,0,NA,0.025739842555350567,0.015719877989538302
AFG,Afghanistan,sheep,non-dairy,All systems,meat,0.0050099711983123355,NA,0.025739842555350567,0.010019964565812264
ALB,Albania,buffalo,dairy,All systems,milk,0.05744750998860241,rate gf with global mean,0,0.03222343089015859
ALB,Albania,buffalo,dairy,All systems,meat,0.004425067881649755,rate gf with global mean,0,0.0076625564537693355
ALB,Albania,buffalo,non-dairy,All systems,milk,0,rate gf with global mean,0,0.03222343089015859
ALB,Albania,buffalo,non-dairy,All systems,meat,0.00923563727158656,rate gf with global mean,0,0.0076625564537693355
ALB,Albania,cows,dairy,All systems,milk,0.9372303622837085,NA,1.025582912447305,0.9372303622837085
ALB,Albania,cows,dairy,All systems,meat,0.08835255016359647,NA,1.025582912447305,0.08835255016359647
ALB,Albania,cows,non-dairy,All systems,milk,0,NA,1.025582912447305,0.9372303622837085
ALB,Albania,cows,non-dairy,All systems,meat,0,NA,1.025582912447305,0.08835255016359647
ALB,Albania,goats,dairy,All systems,milk,0.058778424306947706,NA,0.06932683489905589,0.058778424306947706
ALB,Albania,goats,dairy,All systems,meat,0.010548410592108176,NA,0.06932683489905589,0.010548410592108176
ALB,Albania,goats,non-dairy,All systems,milk,0,NA,0.06932683489905589,0.058778424306947706
ALB,Albania,goats,non-dairy,All systems,meat,0,NA,0.06932683489905589,0.010548410592108176
ALB,Albania,sheep,dairy,All systems,milk,0.024019445632765916,NA,0.03881748374449811,0.024019445632765916
ALB,Albania,sheep,dairy,All systems,meat,0.014798038111732194,NA,0.03881748374449811,0.014798038111732194
ALB,Albania,sheep,non-dairy,All systems,milk,0,NA,0.03881748374449811,0.024019445632765916
