iso3c,country,animal,system_1,system_2,product,tonnes_per_head
AFG,Afghanistan,chickens,backyard,backyard,eggs,0.0012337776706995193
AFG,Afghanistan,chickens,backyard,backyard,meat,3.227924875526952e-4
AFG,Afghanistan,chickens,layers,industrial,eggs,0.028962242962603146
AFG,Afghanistan,chickens,layers,industrial,meat,0.0020215342183557204
AFG,Afghanistan,chickens,broilers,industrial,eggs,0
AFG,Afghanistan,chickens,broilers,industrial,meat,0.008571848865204503
ALB,Albania,chickens,backyard,backyard,eggs,0.0054340103964805415
ALB,Albania,chickens,backyard,backyard,meat,0.0012041688947888555
ALB,Albania,chickens,layers,industrial,eggs,0.052191651682351896
ALB,Albania,chickens,layers,industrial,meat,0.006131634159334449
ALB,Albania,chickens,broilers,industrial,eggs,0
ALB,Albania,chickens,broilers,industrial,meat,0.009257858295089898
DZA,Algeria,chickens,backyard,backyard,eggs,0.0014504907887492298
DZA,Algeria,chickens,backyard,backyard,meat,4.179025901202824e-4
DZA,Algeria,chickens,layers,industrial,eggs,0.03404693558807806
DZA,Algeria,chickens,layers,industrial,meat,0.005738505219308302
DZA,Algeria,chickens,broilers,industrial,eggs,0
DZA,Algeria,chickens,broilers,industrial,meat,0.005624594415396283
ASM,American Samoa,chickens,backyard,backyard,eggs,0
ASM,American Samoa,chickens,backyard,backyard,meat,0
ASM,American Samoa,chickens,layers,industrial,eggs,0
ASM,American Samoa,chickens,layers,industrial,meat,0
ASM,American Samoa,chickens,broilers,industrial,eggs,0
ASM,American Samoa,chickens,broilers,industrial,meat,0
AND,Andorra,chickens,backyard,backyard,eggs,0.005433960711746534
AND,Andorra,chickens,backyard,backyard,meat,0.0012041557972761832
AND,Andorra,chickens,layers,industrial,eggs,0
AND,Andorra,chickens,layers,industrial,meat,0
AND,Andorra,chickens,broilers,industrial,eggs,0
AND,Andorra,chickens,broilers,industrial,meat,0.008996962351855792
AGO,Angola,chickens,backyard,backyard,eggs,9.927799902698742e-4
