iso3c,country,animal,system,product,tonnes_per_head
AFG,Afghanistan,pigs,backyard,meat,0
AFG,Afghanistan,pigs,intermediate,meat,0
AFG,Afghanistan,pigs,industrial,meat,0
ALB,Albania,pigs,backyard,meat,0.08723391466944361
ALB,Albania,pigs,intermediate,meat,0.12869866667530938
ALB,Albania,pigs,industrial,meat,0.17087991209092804
DZA,Algeria,pigs,backyard,meat,0
DZA,Algeria,pigs,intermediate,meat,0
DZA,Algeria,pigs,industrial,meat,0
ASM,American Samoa,pigs,backyard,meat,0
ASM,American Samoa,pigs,intermediate,meat,0
ASM,American Samoa,pigs,industrial,meat,0
AND,Andorra,pigs,backyard,meat,0
AND,Andorra,pigs,intermediate,meat,0
AND,Andorra,pigs,industrial,meat,0
AGO,Angola,pigs,backyard,meat,0.04067517848243279
AGO,Angola,pigs,intermediate,meat,0.08057911337183046
AGO,Angola,pigs,industrial,meat,0.18030873783446147
AIA,Anguilla,pigs,backyard,meat,0
AIA,Anguilla,pigs,intermediate,meat,0
AIA,Anguilla,pigs,industrial,meat,0
ATG,Antigua & Barbuda,pigs,backyard,meat,0
ATG,Antigua & Barbuda,pigs,intermediate,meat,0
ATG,Antigua & Barbuda,pigs,industrial,meat,0
ARG,Argentina,pigs,backyard,meat,0.07508809737134517
ARG,Argentina,pigs,intermediate,meat,0.12859136453047787
ARG,Argentina,pigs,industrial,meat,0.1731061662983689
ARM,Armenia,pigs,backyard,meat,0.07275825229288435
ARM,Armenia,pigs,intermediate,meat,0.12431936364546016
ARM,Armenia,pigs,industrial,meat,0.15252340266073872
ABW,Aruba,pigs,backyard,meat,0
ABW,Aruba,pigs,intermediate,meat,0
ABW,Aruba,pigs,industrial,meat,0
AUS,Australia,pigs,backyard,meat,0.08723461386550539
AUS,Australia,pigs,intermediate,meat,0
AUS,Australia,pigs,industrial,meat,0.1559655695384032
AUT,Austria,pigs,backyard,meat,0
AUT,Austria,pigs,intermediate,meat,0.1286998275594189
AUT,Austria,pigs,industrial,meat,0.18398876346006357
AZE,Azerbaijan,pigs,backyard,meat,0
AZE,Azerbaijan,pigs,intermediate,meat,0
AZE,Azerbaijan,pigs,industrial,meat,0
BHS,Bahamas,pigs,backyard,meat,0
BHS,Bahamas,pigs,intermediate,meat,0
BHS,Bahamas,pigs,industrial,meat,0
BHR,Bahrain,pigs,backyard,meat,0
BHR,Bahrain,pigs,intermediate,meat,0
BHR,Bahrain,pigs,industrial,meat,0
BGD,Bangladesh,pigs,backyard,meat,0
BGD,Bangladesh,pigs,intermediate,meat,0
BGD,Bangladesh,pigs,industrial,meat,0
BRB,Barbados,pigs,backyard,meat,0
BRB,Barbados,pigs,intermediate,meat,0
BRB,Barbados,pigs,industrial,meat,0.17310229783072797
BLR,Belarus,pigs,backyard,meat,0.08723443350562356
BLR,Belarus,pigs,intermediate,meat,0.12870016210341706
BLR,Belarus,pigs,industrial,meat,0.17087848627180444
BEL,Belgium,pigs,backyard,meat,0
BEL,Belgium,pigs,intermediate,meat,0
BEL,Belgium,pigs,industrial,meat,0.15617783169801652
BLZ,Belize,pigs,backyard,meat,0
BLZ,Belize,pigs,intermediate,meat,0
BLZ,Belize,pigs,industrial,meat,0
BEN,Benin,pigs,backyard,meat,0.040675140131934955
BEN,Benin,pigs,intermediate,meat,0.0805789633876716
BEN,Benin,pigs,industrial,meat,0.1803069225705699
BMU,Bermuda,pigs,backyard,meat,0
BMU,Bermuda,pigs,intermediate,meat,0
BMU,Bermuda,pigs,industrial,meat,0
BTN,Bhutan,pigs,backyard,meat,0
BTN,Bhutan,pigs,intermediate,meat,0
BTN,Bhutan,pigs,industrial,meat,0
